Table                    | Index        | Content
RegisterClassST          | 0            | BNDR
RegisterClassST          | 1            | CCR
RegisterClassST          | 2            | CONTROL_REG
RegisterClassST          | 3            | DEBUG_REG
RegisterClassST          | 4            | DFCCR
RegisterClassST          | 5            | FPCCR
RegisterClassST          | 6            | FR32
RegisterClassST          | 7            | FR32X
RegisterClassST          | 8            | FR64
RegisterClassST          | 9            | FR64X
RegisterClassST          | 10           | GR16
RegisterClassST          | 11           | GR16_ABCD
RegisterClassST          | 12           | GR16_NOREX
RegisterClassST          | 13           | GR32
RegisterClassST          | 14           | GR32_ABCD
RegisterClassST          | 15           | GR32_AD
RegisterClassST          | 16           | GR32_BPSP
RegisterClassST          | 17           | GR32_BSI
RegisterClassST          | 18           | GR32_CB
RegisterClassST          | 19           | GR32_DC
RegisterClassST          | 20           | GR32_DIBP
RegisterClassST          | 21           | GR32_NOREX
RegisterClassST          | 22           | GR32_NOREX_NOSP
RegisterClassST          | 23           | GR32_NOSP
RegisterClassST          | 24           | GR32_SIDI
RegisterClassST          | 25           | GR32_TC
RegisterClassST          | 26           | GR64
RegisterClassST          | 27           | GR64_ABCD
RegisterClassST          | 28           | GR64_AD
RegisterClassST          | 29           | GR64_NOREX
RegisterClassST          | 30           | GR64_NOREX_NOSP
RegisterClassST          | 31           | GR64_NOSP
RegisterClassST          | 32           | GR64_TC
RegisterClassST          | 33           | GR64_TCW64
RegisterClassST          | 34           | GR8
RegisterClassST          | 35           | GR8_ABCD_H
RegisterClassST          | 36           | GR8_ABCD_L
RegisterClassST          | 37           | GR8_NOREX
RegisterClassST          | 38           | GRH16
RegisterClassST          | 39           | GRH8
RegisterClassST          | 40           | LOW32_ADDR_ACCESS
RegisterClassST          | 41           | LOW32_ADDR_ACCESS_RBP
RegisterClassST          | 42           | RFP32
RegisterClassST          | 43           | RFP64
RegisterClassST          | 44           | RFP80
RegisterClassST          | 45           | RFP80_7
RegisterClassST          | 46           | RST
RegisterClassST          | 47           | SEGMENT_REG
RegisterClassST          | 48           | TILE
RegisterClassST          | 49           | VK1
RegisterClassST          | 50           | VK16
RegisterClassST          | 51           | VK16PAIR
RegisterClassST          | 52           | VK16WM
RegisterClassST          | 53           | VK1PAIR
RegisterClassST          | 54           | VK1WM
RegisterClassST          | 55           | VK2
RegisterClassST          | 56           | VK2PAIR
RegisterClassST          | 57           | VK2WM
RegisterClassST          | 58           | VK32
RegisterClassST          | 59           | VK32WM
RegisterClassST          | 60           | VK4
RegisterClassST          | 61           | VK4PAIR
RegisterClassST          | 62           | VK4WM
RegisterClassST          | 63           | VK64
RegisterClassST          | 64           | VK64WM
RegisterClassST          | 65           | VK8
RegisterClassST          | 66           | VK8PAIR
RegisterClassST          | 67           | VK8WM
RegisterClassST          | 68           | VR128
RegisterClassST          | 69           | VR128X
RegisterClassST          | 70           | VR256
RegisterClassST          | 71           | VR256X
RegisterClassST          | 72           | VR512
RegisterClassST          | 73           | VR512_0_15
RegisterClassST          | 74           | VR64
