TableName                | EntryIndex   | EntryName
AsmSigST                 | 0            |         
AsmSigST                 | 1            | aaa     
AsmSigST                 | 2            | aad     
AsmSigST                 | 3            | aad imm8
AsmSigST                 | 4            | adc AL, imm8
AsmSigST                 | 5            | adc AX, imm16
AsmSigST                 | 6            | adc EAX, imm32
AsmSigST                 | 7            | adc m16, imm16
AsmSigST                 | 8            | adc m16, imm8
AsmSigST                 | 9            | adc m16, r16
AsmSigST                 | 10           | adc m32, imm32
AsmSigST                 | 11           | adc m32, imm8
AsmSigST                 | 12           | adc m32, r32
AsmSigST                 | 13           | adc m64, imm32
AsmSigST                 | 14           | adc m64, imm8
AsmSigST                 | 15           | adc m64, r64
AsmSigST                 | 16           | adc m8, imm8
AsmSigST                 | 17           | adc m8, r8
AsmSigST                 | 18           | adc r16, imm16
AsmSigST                 | 19           | adc r16, imm8
AsmSigST                 | 20           | adc r16, m16
AsmSigST                 | 21           | adc r16, r16
AsmSigST                 | 22           | adc r32, imm32
AsmSigST                 | 23           | adc r32, imm8
AsmSigST                 | 24           | adc r32, m32
AsmSigST                 | 25           | adc r32, r32
AsmSigST                 | 26           | adc r64, imm32
AsmSigST                 | 27           | adc r64, imm8
AsmSigST                 | 28           | adc r64, m64
AsmSigST                 | 29           | adc r64, r64
AsmSigST                 | 30           | adc r8, imm8
AsmSigST                 | 31           | adc r8, m8
AsmSigST                 | 32           | adc r8, r8
AsmSigST                 | 33           | adc RAX, imm32
AsmSigST                 | 34           | adcx r32, m32
AsmSigST                 | 35           | adcx r32, r32
AsmSigST                 | 36           | adcx r64, m64
AsmSigST                 | 37           | adcx r64, r64
AsmSigST                 | 38           | add AL, imm8
AsmSigST                 | 39           | add AX, imm16
AsmSigST                 | 40           | add EAX, imm32
AsmSigST                 | 41           | add m16, imm16
AsmSigST                 | 42           | add m16, imm8
AsmSigST                 | 43           | add m16, r16
AsmSigST                 | 44           | add m32, imm32
AsmSigST                 | 45           | add m32, imm8
AsmSigST                 | 46           | add m32, r32
AsmSigST                 | 47           | add m64, imm32
AsmSigST                 | 48           | add m64, imm8
AsmSigST                 | 49           | add m64, r64
AsmSigST                 | 50           | add m8, imm8
AsmSigST                 | 51           | add m8, r8
AsmSigST                 | 52           | add r16, imm16
AsmSigST                 | 53           | add r16, imm8
AsmSigST                 | 54           | add r16, m16
AsmSigST                 | 55           | add r16, r16
AsmSigST                 | 56           | add r32, imm32
AsmSigST                 | 57           | add r32, imm8
AsmSigST                 | 58           | add r32, m32
AsmSigST                 | 59           | add r32, r32
AsmSigST                 | 60           | add r64, imm32
AsmSigST                 | 61           | add r64, imm8
AsmSigST                 | 62           | add r64, m64
AsmSigST                 | 63           | add r64, r64
AsmSigST                 | 64           | add r8, imm8
AsmSigST                 | 65           | add r8, m8
AsmSigST                 | 66           | add r8, r8
AsmSigST                 | 67           | add RAX, imm32
