Table                    | Index        | Content
IFormTypeST              | 0            |  
IFormTypeST              | 1            | AAA
IFormTypeST              | 2            | AAD_IMMb
IFormTypeST              | 3            | AAM_IMMb
IFormTypeST              | 4            | AAS
IFormTypeST              | 5            | ADC_AL_IMMb
IFormTypeST              | 6            | ADC_GPR8_GPR8_10
IFormTypeST              | 7            | ADC_GPR8_GPR8_12
IFormTypeST              | 8            | ADC_GPR8_IMMb_80r2
IFormTypeST              | 9            | ADC_GPR8_IMMb_82r2
IFormTypeST              | 10           | ADC_GPR8_MEMb
IFormTypeST              | 11           | ADC_GPRv_GPRv_11
IFormTypeST              | 12           | ADC_GPRv_GPRv_13
IFormTypeST              | 13           | ADC_GPRv_IMMb
IFormTypeST              | 14           | ADC_GPRv_IMMz
IFormTypeST              | 15           | ADC_GPRv_MEMv
IFormTypeST              | 16           | ADC_MEMb_GPR8
IFormTypeST              | 17           | ADC_MEMb_IMMb_80r2
IFormTypeST              | 18           | ADC_MEMb_IMMb_82r2
IFormTypeST              | 19           | ADC_MEMv_GPRv
IFormTypeST              | 20           | ADC_MEMv_IMMb
IFormTypeST              | 21           | ADC_MEMv_IMMz
IFormTypeST              | 22           | ADC_OrAX_IMMz
IFormTypeST              | 23           | ADCX_GPR32d_GPR32d
IFormTypeST              | 24           | ADCX_GPR32d_MEMd
IFormTypeST              | 25           | ADCX_GPR64q_GPR64q
IFormTypeST              | 26           | ADCX_GPR64q_MEMq
IFormTypeST              | 27           | ADC_LOCK_MEMb_GPR8
IFormTypeST              | 28           | ADC_LOCK_MEMb_IMMb_80r2
IFormTypeST              | 29           | ADC_LOCK_MEMb_IMMb_82r2
IFormTypeST              | 30           | ADC_LOCK_MEMv_GPRv
IFormTypeST              | 31           | ADC_LOCK_MEMv_IMMb
IFormTypeST              | 32           | ADC_LOCK_MEMv_IMMz
IFormTypeST              | 33           | ADD_AL_IMMb
IFormTypeST              | 34           | ADD_GPR8_GPR8_00
IFormTypeST              | 35           | ADD_GPR8_GPR8_02
IFormTypeST              | 36           | ADD_GPR8_IMMb_80r0
IFormTypeST              | 37           | ADD_GPR8_IMMb_82r0
IFormTypeST              | 38           | ADD_GPR8_MEMb
IFormTypeST              | 39           | ADD_GPRv_GPRv_01
IFormTypeST              | 40           | ADD_GPRv_GPRv_03
IFormTypeST              | 41           | ADD_GPRv_IMMb
IFormTypeST              | 42           | ADD_GPRv_IMMz
IFormTypeST              | 43           | ADD_GPRv_MEMv
IFormTypeST              | 44           | ADD_MEMb_GPR8
IFormTypeST              | 45           | ADD_MEMb_IMMb_80r0
IFormTypeST              | 46           | ADD_MEMb_IMMb_82r0
IFormTypeST              | 47           | ADD_MEMv_GPRv
IFormTypeST              | 48           | ADD_MEMv_IMMb
IFormTypeST              | 49           | ADD_MEMv_IMMz
IFormTypeST              | 50           | ADD_OrAX_IMMz
IFormTypeST              | 51           | ADDPD_XMMpd_MEMpd
IFormTypeST              | 52           | ADDPD_XMMpd_XMMpd
IFormTypeST              | 53           | ADDPS_XMMps_MEMps
IFormTypeST              | 54           | ADDPS_XMMps_XMMps
IFormTypeST              | 55           | ADDSD_XMMsd_MEMsd
IFormTypeST              | 56           | ADDSD_XMMsd_XMMsd
IFormTypeST              | 57           | ADDSS_XMMss_MEMss
IFormTypeST              | 58           | ADDSS_XMMss_XMMss
IFormTypeST              | 59           | ADDSUBPD_XMMpd_MEMpd
IFormTypeST              | 60           | ADDSUBPD_XMMpd_XMMpd
IFormTypeST              | 61           | ADDSUBPS_XMMps_MEMps
IFormTypeST              | 62           | ADDSUBPS_XMMps_XMMps
IFormTypeST              | 63           | ADD_LOCK_MEMb_GPR8
IFormTypeST              | 64           | ADD_LOCK_MEMb_IMMb_80r0
IFormTypeST              | 65           | ADD_LOCK_MEMb_IMMb_82r0
IFormTypeST              | 66           | ADD_LOCK_MEMv_GPRv
IFormTypeST              | 67           | ADD_LOCK_MEMv_IMMb
IFormTypeST              | 68           | ADD_LOCK_MEMv_IMMz
IFormTypeST              | 69           | ADOX_GPR32d_GPR32d
IFormTypeST              | 70           | ADOX_GPR32d_MEMd
IFormTypeST              | 71           | ADOX_GPR64q_GPR64q
IFormTypeST              | 72           | ADOX_GPR64q_MEMq
IFormTypeST              | 73           | AESDEC_XMMdq_MEMdq
IFormTypeST              | 74           | AESDEC_XMMdq_XMMdq
IFormTypeST              | 75           | AESDEC128KL_XMMu8_MEMu8
IFormTypeST              | 76           | AESDEC256KL_XMMu8_MEMu8
IFormTypeST              | 77           | AESDECLAST_XMMdq_MEMdq
IFormTypeST              | 78           | AESDECLAST_XMMdq_XMMdq
IFormTypeST              | 79           | AESDECWIDE128KL_MEMu8
IFormTypeST              | 80           | AESDECWIDE256KL_MEMu8
IFormTypeST              | 81           | AESENC_XMMdq_MEMdq
IFormTypeST              | 82           | AESENC_XMMdq_XMMdq
IFormTypeST              | 83           | AESENC128KL_XMMu8_MEMu8
IFormTypeST              | 84           | AESENC256KL_XMMu8_MEMu8
IFormTypeST              | 85           | AESENCLAST_XMMdq_MEMdq
IFormTypeST              | 86           | AESENCLAST_XMMdq_XMMdq
IFormTypeST              | 87           | AESENCWIDE128KL_MEMu8
IFormTypeST              | 88           | AESENCWIDE256KL_MEMu8
IFormTypeST              | 89           | AESIMC_XMMdq_MEMdq
IFormTypeST              | 90           | AESIMC_XMMdq_XMMdq
IFormTypeST              | 91           | AESKEYGENASSIST_XMMdq_MEMdq_IMMb
IFormTypeST              | 92           | AESKEYGENASSIST_XMMdq_XMMdq_IMMb
IFormTypeST              | 93           | AND_AL_IMMb
IFormTypeST              | 94           | AND_GPR8_GPR8_20
IFormTypeST              | 95           | AND_GPR8_GPR8_22
IFormTypeST              | 96           | AND_GPR8_IMMb_80r4
IFormTypeST              | 97           | AND_GPR8_IMMb_82r4
IFormTypeST              | 98           | AND_GPR8_MEMb
IFormTypeST              | 99           | AND_GPRv_GPRv_21
IFormTypeST              | 100          | AND_GPRv_GPRv_23
IFormTypeST              | 101          | AND_GPRv_IMMb
IFormTypeST              | 102          | AND_GPRv_IMMz
IFormTypeST              | 103          | AND_GPRv_MEMv
IFormTypeST              | 104          | AND_MEMb_GPR8
IFormTypeST              | 105          | AND_MEMb_IMMb_80r4
IFormTypeST              | 106          | AND_MEMb_IMMb_82r4
IFormTypeST              | 107          | AND_MEMv_GPRv
IFormTypeST              | 108          | AND_MEMv_IMMb
IFormTypeST              | 109          | AND_MEMv_IMMz
IFormTypeST              | 110          | AND_OrAX_IMMz
IFormTypeST              | 111          | ANDN_VGPR32d_VGPR32d_MEMd
IFormTypeST              | 112          | ANDN_VGPR32d_VGPR32d_VGPR32d
IFormTypeST              | 113          | ANDN_VGPR64q_VGPR64q_MEMq
IFormTypeST              | 114          | ANDN_VGPR64q_VGPR64q_VGPR64q
IFormTypeST              | 115          | ANDNPD_XMMxuq_MEMxuq
IFormTypeST              | 116          | ANDNPD_XMMxuq_XMMxuq
IFormTypeST              | 117          | ANDNPS_XMMxud_MEMxud
IFormTypeST              | 118          | ANDNPS_XMMxud_XMMxud
IFormTypeST              | 119          | ANDPD_XMMxuq_MEMxuq
IFormTypeST              | 120          | ANDPD_XMMxuq_XMMxuq
IFormTypeST              | 121          | ANDPS_XMMxud_MEMxud
IFormTypeST              | 122          | ANDPS_XMMxud_XMMxud
IFormTypeST              | 123          | AND_LOCK_MEMb_GPR8
IFormTypeST              | 124          | AND_LOCK_MEMb_IMMb_80r4
IFormTypeST              | 125          | AND_LOCK_MEMb_IMMb_82r4
IFormTypeST              | 126          | AND_LOCK_MEMv_GPRv
IFormTypeST              | 127          | AND_LOCK_MEMv_IMMb
IFormTypeST              | 128          | AND_LOCK_MEMv_IMMz
IFormTypeST              | 129          | ARPL_GPR16_GPR16
IFormTypeST              | 130          | ARPL_MEMw_GPR16
IFormTypeST              | 131          | BEXTR_VGPR32d_MEMd_VGPR32d
IFormTypeST              | 132          | BEXTR_VGPR32d_VGPR32d_VGPR32d
IFormTypeST              | 133          | BEXTR_VGPR64q_MEMq_VGPR64q
IFormTypeST              | 134          | BEXTR_VGPR64q_VGPR64q_VGPR64q
IFormTypeST              | 135          | BEXTR_XOP_VGPR32d_MEMd_IMMd
IFormTypeST              | 136          | BEXTR_XOP_VGPR32d_VGPR32d_IMMd
IFormTypeST              | 137          | BEXTR_XOP_VGPRyy_MEMy_IMMd
IFormTypeST              | 138          | BEXTR_XOP_VGPRyy_VGPRyy_IMMd
IFormTypeST              | 139          | BLCFILL_VGPR32d_MEMd
IFormTypeST              | 140          | BLCFILL_VGPR32d_VGPR32d
IFormTypeST              | 141          | BLCFILL_VGPRyy_MEMy
IFormTypeST              | 142          | BLCFILL_VGPRyy_VGPRyy
IFormTypeST              | 143          | BLCI_VGPR32d_MEMd
IFormTypeST              | 144          | BLCI_VGPR32d_VGPR32d
IFormTypeST              | 145          | BLCI_VGPRyy_MEMy
IFormTypeST              | 146          | BLCI_VGPRyy_VGPRyy
IFormTypeST              | 147          | BLCIC_VGPR32d_MEMd
IFormTypeST              | 148          | BLCIC_VGPR32d_VGPR32d
IFormTypeST              | 149          | BLCIC_VGPRyy_MEMy
IFormTypeST              | 150          | BLCIC_VGPRyy_VGPRyy
IFormTypeST              | 151          | BLCMSK_VGPR32d_MEMd
IFormTypeST              | 152          | BLCMSK_VGPR32d_VGPR32d
IFormTypeST              | 153          | BLCMSK_VGPRyy_MEMy
IFormTypeST              | 154          | BLCMSK_VGPRyy_VGPRyy
IFormTypeST              | 155          | BLCS_VGPR32d_MEMd
IFormTypeST              | 156          | BLCS_VGPR32d_VGPR32d
IFormTypeST              | 157          | BLCS_VGPRyy_MEMy
IFormTypeST              | 158          | BLCS_VGPRyy_VGPRyy
IFormTypeST              | 159          | BLENDPD_XMMdq_MEMdq_IMMb
IFormTypeST              | 160          | BLENDPD_XMMdq_XMMdq_IMMb
IFormTypeST              | 161          | BLENDPS_XMMdq_MEMdq_IMMb
IFormTypeST              | 162          | BLENDPS_XMMdq_XMMdq_IMMb
IFormTypeST              | 163          | BLENDVPD_XMMdq_MEMdq
IFormTypeST              | 164          | BLENDVPD_XMMdq_XMMdq
IFormTypeST              | 165          | BLENDVPS_XMMdq_MEMdq
IFormTypeST              | 166          | BLENDVPS_XMMdq_XMMdq
IFormTypeST              | 167          | BLSFILL_VGPR32d_MEMd
IFormTypeST              | 168          | BLSFILL_VGPR32d_VGPR32d
IFormTypeST              | 169          | BLSFILL_VGPRyy_MEMy
IFormTypeST              | 170          | BLSFILL_VGPRyy_VGPRyy
IFormTypeST              | 171          | BLSI_VGPR32d_MEMd
IFormTypeST              | 172          | BLSI_VGPR32d_VGPR32d
