TableName                | EntryIndex   | EntryName
AsmOperandClassData      | 0            | AVX512RCOperand
AsmOperandClassData      | 1            | ImmAsmOperand
AsmOperandClassData      | 2            | ImmSExti16i8AsmOperand
AsmOperandClassData      | 3            | ImmSExti32i8AsmOperand
AsmOperandClassData      | 4            | ImmSExti64i32AsmOperand
AsmOperandClassData      | 5            | ImmSExti64i8AsmOperand
AsmOperandClassData      | 6            | ImmUnsignedi4AsmOperand
AsmOperandClassData      | 7            | ImmUnsignedi8AsmOperand
AsmOperandClassData      | 8            | VK16PairAsmOperand
AsmOperandClassData      | 9            | VK1PairAsmOperand
AsmOperandClassData      | 10           | VK2PairAsmOperand
AsmOperandClassData      | 11           | VK4PairAsmOperand
AsmOperandClassData      | 12           | VK8PairAsmOperand
AsmOperandClassData      | 13           | X86AbsMem16AsmOperand
AsmOperandClassData      | 14           | X86AbsMemAsmOperand
AsmOperandClassData      | 15           | X86DstIdx16Operand
AsmOperandClassData      | 16           | X86DstIdx32Operand
AsmOperandClassData      | 17           | X86DstIdx64Operand
AsmOperandClassData      | 18           | X86DstIdx8Operand
AsmOperandClassData      | 19           | X86GR16orGR32orGR64AsmOperand
AsmOperandClassData      | 20           | X86GR32orGR64AsmOperand
AsmOperandClassData      | 21           | X86Mem128AsmOperand
AsmOperandClassData      | 22           | X86Mem128_RC128Operand
AsmOperandClassData      | 23           | X86Mem128_RC128XOperand
AsmOperandClassData      | 24           | X86Mem128_RC256Operand
AsmOperandClassData      | 25           | X86Mem128_RC256XOperand
AsmOperandClassData      | 26           | X86Mem16AsmOperand
AsmOperandClassData      | 27           | X86Mem256AsmOperand
AsmOperandClassData      | 28           | X86Mem256_RC128Operand
AsmOperandClassData      | 29           | X86Mem256_RC128XOperand
AsmOperandClassData      | 30           | X86Mem256_RC256Operand
AsmOperandClassData      | 31           | X86Mem256_RC256XOperand
AsmOperandClassData      | 32           | X86Mem256_RC512Operand
AsmOperandClassData      | 33           | X86Mem32AsmOperand
AsmOperandClassData      | 34           | X86Mem512AsmOperand
AsmOperandClassData      | 35           | X86Mem512_RC256XOperand
AsmOperandClassData      | 36           | X86Mem512_RC512Operand
AsmOperandClassData      | 37           | X86Mem64AsmOperand
AsmOperandClassData      | 38           | X86Mem64_RC128Operand
AsmOperandClassData      | 39           | X86Mem64_RC128XOperand
AsmOperandClassData      | 40           | X86Mem80AsmOperand
AsmOperandClassData      | 41           | X86Mem8AsmOperand
AsmOperandClassData      | 42           | X86MemAsmOperand
AsmOperandClassData      | 43           | X86MemOffs16_16AsmOperand
AsmOperandClassData      | 44           | X86MemOffs16_32AsmOperand
AsmOperandClassData      | 45           | X86MemOffs16_8AsmOperand
AsmOperandClassData      | 46           | X86MemOffs32_16AsmOperand
AsmOperandClassData      | 47           | X86MemOffs32_32AsmOperand
AsmOperandClassData      | 48           | X86MemOffs32_64AsmOperand
AsmOperandClassData      | 49           | X86MemOffs32_8AsmOperand
AsmOperandClassData      | 50           | X86MemOffs64_16AsmOperand
AsmOperandClassData      | 51           | X86MemOffs64_32AsmOperand
AsmOperandClassData      | 52           | X86MemOffs64_64AsmOperand
AsmOperandClassData      | 53           | X86MemOffs64_8AsmOperand
AsmOperandClassData      | 54           | X86SibMemOperand
AsmOperandClassData      | 55           | X86SrcIdx16Operand
AsmOperandClassData      | 56           | X86SrcIdx32Operand
AsmOperandClassData      | 57           | X86SrcIdx64Operand
AsmOperandClassData      | 58           | X86SrcIdx8Operand
