TableName                | EntryIndex   | EntryName
CCAction                 | 0            | anonymous_20983
CCAction                 | 1            | anonymous_20984
CCAction                 | 2            | anonymous_20985
CCAction                 | 3            | anonymous_20986
CCAction                 | 4            | anonymous_20987
CCAction                 | 5            | anonymous_20988
CCAction                 | 6            | anonymous_20989
CCAction                 | 7            | anonymous_20990
CCAction                 | 8            | anonymous_20991
CCAction                 | 9            | anonymous_20992
CCAction                 | 10           | anonymous_20993
CCAction                 | 11           | anonymous_20994
CCAction                 | 12           | anonymous_20995
CCAction                 | 13           | anonymous_20996
CCAction                 | 14           | anonymous_20997
CCAction                 | 15           | anonymous_20998
CCAction                 | 16           | anonymous_20999
CCAction                 | 17           | anonymous_21000
CCAction                 | 18           | anonymous_21001
CCAction                 | 19           | anonymous_21002
CCAction                 | 20           | anonymous_21003
CCAction                 | 21           | anonymous_21004
CCAction                 | 22           | anonymous_21005
CCAction                 | 23           | anonymous_21006
CCAction                 | 24           | anonymous_21007
CCAction                 | 25           | anonymous_21008
CCAction                 | 26           | anonymous_21009
CCAction                 | 27           | anonymous_21010
CCAction                 | 28           | anonymous_21011
CCAction                 | 29           | anonymous_21012
CCAction                 | 30           | anonymous_21013
CCAction                 | 31           | anonymous_21014
CCAction                 | 32           | anonymous_21015
CCAction                 | 33           | anonymous_21016
CCAction                 | 34           | anonymous_21017
CCAction                 | 35           | anonymous_21018
CCAction                 | 36           | anonymous_21019
CCAction                 | 37           | anonymous_21020
CCAction                 | 38           | anonymous_21021
CCAction                 | 39           | anonymous_21022
CCAction                 | 40           | anonymous_21023
CCAction                 | 41           | anonymous_21024
CCAction                 | 42           | anonymous_21025
CCAction                 | 43           | anonymous_21026
CCAction                 | 44           | anonymous_21027
CCAction                 | 45           | anonymous_21028
CCAction                 | 46           | anonymous_21029
CCAction                 | 47           | anonymous_21030
CCAction                 | 48           | anonymous_21031
CCAction                 | 49           | anonymous_21032
CCAction                 | 50           | anonymous_21033
CCAction                 | 51           | anonymous_21034
CCAction                 | 52           | anonymous_21035
CCAction                 | 53           | anonymous_21036
CCAction                 | 54           | anonymous_21037
CCAction                 | 55           | anonymous_21038
CCAction                 | 56           | anonymous_21039
CCAction                 | 57           | anonymous_21040
CCAction                 | 58           | anonymous_21041
CCAction                 | 59           | anonymous_21042
CCAction                 | 60           | anonymous_21043
CCAction                 | 61           | anonymous_21044
CCAction                 | 62           | anonymous_21045
CCAction                 | 63           | anonymous_21046
CCAction                 | 64           | anonymous_21047
CCAction                 | 65           | anonymous_21048
CCAction                 | 66           | anonymous_21049
CCAction                 | 67           | anonymous_21050
CCAction                 | 68           | anonymous_21051
CCAction                 | 69           | anonymous_21052
CCAction                 | 70           | anonymous_21053
CCAction                 | 71           | anonymous_21054
CCAction                 | 72           | anonymous_21055
CCAction                 | 73           | anonymous_21056
CCAction                 | 74           | anonymous_21057
CCAction                 | 75           | anonymous_21058
CCAction                 | 76           | anonymous_21059
CCAction                 | 77           | anonymous_21060
CCAction                 | 78           | anonymous_21061
CCAction                 | 79           | anonymous_21062
CCAction                 | 80           | anonymous_21063
CCAction                 | 81           | anonymous_21064
CCAction                 | 82           | anonymous_21065
CCAction                 | 83           | anonymous_21066
CCAction                 | 84           | anonymous_21067
CCAction                 | 85           | anonymous_21068
CCAction                 | 86           | anonymous_21069
CCAction                 | 87           | anonymous_21070
CCAction                 | 88           | anonymous_21071
CCAction                 | 89           | anonymous_21072
CCAction                 | 90           | anonymous_21073
CCAction                 | 91           | anonymous_21074
CCAction                 | 92           | anonymous_21075
CCAction                 | 93           | anonymous_21076
CCAction                 | 94           | anonymous_21077
CCAction                 | 95           | anonymous_21078
CCAction                 | 96           | anonymous_21079
