TableName                | EntryIndex   | EntryName
CondCodeData             | 0            | SETEQ   
CondCodeData             | 1            | SETGE   
CondCodeData             | 2            | SETGT   
CondCodeData             | 3            | SETLE   
CondCodeData             | 4            | SETLT   
CondCodeData             | 5            | SETNE   
CondCodeData             | 6            | SETO    
CondCodeData             | 7            | SETOEQ  
CondCodeData             | 8            | SETOGE  
CondCodeData             | 9            | SETOGT  
CondCodeData             | 10           | SETOLE  
CondCodeData             | 11           | SETOLT  
CondCodeData             | 12           | SETONE  
CondCodeData             | 13           | SETUEQ  
CondCodeData             | 14           | SETUGE  
CondCodeData             | 15           | SETUGT  
CondCodeData             | 16           | SETULE  
CondCodeData             | 17           | SETULT  
CondCodeData             | 18           | SETUNE  
CondCodeData             | 19           | SETUO   
