TableName                | EntryIndex   | EntryName
Format                   | 0            | AddCCFrm
Format                   | 1            | AddRegFrm
Format                   | 2            | MRM0X   
Format                   | 3            | MRM0m   
Format                   | 4            | MRM0r   
Format                   | 5            | MRM1X   
Format                   | 6            | MRM1m   
Format                   | 7            | MRM1r   
Format                   | 8            | MRM2X   
Format                   | 9            | MRM2m   
Format                   | 10           | MRM2r   
Format                   | 11           | MRM3X   
Format                   | 12           | MRM3m   
Format                   | 13           | MRM3r   
Format                   | 14           | MRM4X   
Format                   | 15           | MRM4m   
Format                   | 16           | MRM4r   
Format                   | 17           | MRM5X   
Format                   | 18           | MRM5m   
Format                   | 19           | MRM5r   
Format                   | 20           | MRM6X   
Format                   | 21           | MRM6m   
Format                   | 22           | MRM6r   
Format                   | 23           | MRM7X   
Format                   | 24           | MRM7m   
Format                   | 25           | MRM7r   
Format                   | 26           | MRMDestMem
Format                   | 27           | MRMDestMemFSIB
Format                   | 28           | MRMDestReg
Format                   | 29           | MRMSrcMem
Format                   | 30           | MRMSrcMem4VOp3
Format                   | 31           | MRMSrcMemCC
Format                   | 32           | MRMSrcMemFSIB
Format                   | 33           | MRMSrcMemOp4
Format                   | 34           | MRMSrcReg
Format                   | 35           | MRMSrcReg4VOp3
Format                   | 36           | MRMSrcRegCC
Format                   | 37           | MRMSrcRegOp4
Format                   | 38           | MRMXm   
Format                   | 39           | MRMXmCC 
Format                   | 40           | MRMXr   
Format                   | 41           | MRMXrCC 
Format                   | 42           | MRM_C0  
Format                   | 43           | MRM_C1  
Format                   | 44           | MRM_C2  
Format                   | 45           | MRM_C3  
Format                   | 46           | MRM_C4  
Format                   | 47           | MRM_C5  
Format                   | 48           | MRM_C6  
Format                   | 49           | MRM_C7  
Format                   | 50           | MRM_C8  
Format                   | 51           | MRM_C9  
Format                   | 52           | MRM_CA  
Format                   | 53           | MRM_CB  
Format                   | 54           | MRM_CC  
Format                   | 55           | MRM_CD  
Format                   | 56           | MRM_CE  
Format                   | 57           | MRM_CF  
Format                   | 58           | MRM_D0  
Format                   | 59           | MRM_D1  
Format                   | 60           | MRM_D2  
Format                   | 61           | MRM_D3  
Format                   | 62           | MRM_D4  
Format                   | 63           | MRM_D5  
Format                   | 64           | MRM_D6  
Format                   | 65           | MRM_D7  
Format                   | 66           | MRM_D8  
Format                   | 67           | MRM_D9  
Format                   | 68           | MRM_DA  
Format                   | 69           | MRM_DB  
Format                   | 70           | MRM_DC  
Format                   | 71           | MRM_DD  
Format                   | 72           | MRM_DE  
Format                   | 73           | MRM_DF  
Format                   | 74           | MRM_E0  
Format                   | 75           | MRM_E1  
Format                   | 76           | MRM_E2  
Format                   | 77           | MRM_E3  
Format                   | 78           | MRM_E4  
Format                   | 79           | MRM_E5  
Format                   | 80           | MRM_E6  
Format                   | 81           | MRM_E7  
Format                   | 82           | MRM_E8  
Format                   | 83           | MRM_E9  
Format                   | 84           | MRM_EA  
Format                   | 85           | MRM_EB  
Format                   | 86           | MRM_EC  
Format                   | 87           | MRM_ED  
Format                   | 88           | MRM_EE  
Format                   | 89           | MRM_EF  
Format                   | 90           | MRM_F0  
Format                   | 91           | MRM_F1  
Format                   | 92           | MRM_F2  
Format                   | 93           | MRM_F3  
Format                   | 94           | MRM_F4  
Format                   | 95           | MRM_F5  
Format                   | 96           | MRM_F6  
Format                   | 97           | MRM_F7  
Format                   | 98           | MRM_F8  
Format                   | 99           | MRM_F9  
Format                   | 100          | MRM_FA  
Format                   | 101          | MRM_FB  
Format                   | 102          | MRM_FC  
Format                   | 103          | MRM_FD  
Format                   | 104          | MRM_FE  
Format                   | 105          | MRM_FF  
Format                   | 106          | MRMr0   
Format                   | 107          | PrefixByte
Format                   | 108          | Pseudo  
Format                   | 109          | RawFrm  
Format                   | 110          | RawFrmDst
Format                   | 111          | RawFrmDstSrc
Format                   | 112          | RawFrmImm16
Format                   | 113          | RawFrmImm8
Format                   | 114          | RawFrmMemOffs
Format                   | 115          | RawFrmSrc
