TableName                | EntryIndex   | EntryName
ImmType                  | 0            | Imm16   
ImmType                  | 1            | Imm16PCRel
ImmType                  | 2            | Imm32   
ImmType                  | 3            | Imm32PCRel
ImmType                  | 4            | Imm32S  
ImmType                  | 5            | Imm64   
ImmType                  | 6            | Imm8    
ImmType                  | 7            | Imm8PCRel
ImmType                  | 8            | Imm8Reg 
ImmType                  | 9            | NoImm   
