TableName                | EntryIndex   | EntryName
InstructionEquivalenceClassData | 0            | anonymous_17053
InstructionEquivalenceClassData | 1            | anonymous_17067
InstructionEquivalenceClassData | 2            | anonymous_17068
InstructionEquivalenceClassData | 3            | anonymous_17069
InstructionEquivalenceClassData | 4            | anonymous_17070
InstructionEquivalenceClassData | 5            | anonymous_17072
InstructionEquivalenceClassData | 6            | anonymous_17073
InstructionEquivalenceClassData | 7            | anonymous_17074
InstructionEquivalenceClassData | 8            | anonymous_17075
InstructionEquivalenceClassData | 9            | anonymous_17076
InstructionEquivalenceClassData | 10           | anonymous_17077
InstructionEquivalenceClassData | 11           | anonymous_18020
InstructionEquivalenceClassData | 12           | anonymous_18021
InstructionEquivalenceClassData | 13           | anonymous_18022
InstructionEquivalenceClassData | 14           | anonymous_18023
InstructionEquivalenceClassData | 15           | anonymous_18025
InstructionEquivalenceClassData | 16           | anonymous_18026
InstructionEquivalenceClassData | 17           | anonymous_18027
InstructionEquivalenceClassData | 18           | anonymous_18028
InstructionEquivalenceClassData | 19           | anonymous_18029
InstructionEquivalenceClassData | 20           | anonymous_18896
InstructionEquivalenceClassData | 21           | anonymous_18897
InstructionEquivalenceClassData | 22           | anonymous_18900
