TableName                | EntryIndex   | EntryName
MCInstPredicate          | 0            | CheckLockPrefix
MCInstPredicate          | 1            | IsAtomicCompareAndSwap
MCInstPredicate          | 2            | IsAtomicCompareAndSwap16B
MCInstPredicate          | 3            | IsAtomicCompareAndSwap8B
MCInstPredicate          | 4            | IsAtomicCompareAndSwap_8
MCInstPredicate          | 5            | IsCMOVArm_Or_CMOVBErm
MCInstPredicate          | 6            | IsCMOVArr_Or_CMOVBErr
MCInstPredicate          | 7            | IsCompareAndSwap16B
MCInstPredicate          | 8            | IsCompareAndSwap8B
MCInstPredicate          | 9            | IsRegMemCompareAndSwap
MCInstPredicate          | 10           | IsRegMemCompareAndSwap_16_32_64
MCInstPredicate          | 11           | IsRegMemCompareAndSwap_8
MCInstPredicate          | 12           | IsRegRegCompareAndSwap
MCInstPredicate          | 13           | IsRegRegCompareAndSwap_16_32_64
MCInstPredicate          | 14           | IsRegRegCompareAndSwap_8
MCInstPredicate          | 15           | IsSETAm_Or_SETBEm
MCInstPredicate          | 16           | IsSETAr_Or_SETBEr
MCInstPredicate          | 17           | IsThreeOperandsLEAFn
MCInstPredicate          | 18           | IsThreeOperandsLEAPredicate
MCInstPredicate          | 19           | ZeroIdiomPredicate
MCInstPredicate          | 20           | ZeroIdiomVPERMPredicate
MCInstPredicate          | 21           | anonymous_12572
MCInstPredicate          | 22           | anonymous_12573
MCInstPredicate          | 23           | anonymous_12574
MCInstPredicate          | 24           | anonymous_12575
MCInstPredicate          | 25           | anonymous_12576
MCInstPredicate          | 26           | anonymous_12577
MCInstPredicate          | 27           | anonymous_12578
MCInstPredicate          | 28           | anonymous_12579
MCInstPredicate          | 29           | anonymous_16175
MCInstPredicate          | 30           | anonymous_16176
MCInstPredicate          | 31           | anonymous_16177
MCInstPredicate          | 32           | anonymous_16178
MCInstPredicate          | 33           | anonymous_16179
MCInstPredicate          | 34           | anonymous_17056
MCInstPredicate          | 35           | anonymous_17205
MCInstPredicate          | 36           | anonymous_17208
MCInstPredicate          | 37           | anonymous_17211
MCInstPredicate          | 38           | anonymous_17214
MCInstPredicate          | 39           | anonymous_17222
MCInstPredicate          | 40           | anonymous_17225
MCInstPredicate          | 41           | anonymous_17228
MCInstPredicate          | 42           | anonymous_17231
MCInstPredicate          | 43           | anonymous_9795
MCInstPredicate          | 44           | anonymous_9796
MCInstPredicate          | 45           | anonymous_9797
MCInstPredicate          | 46           | anonymous_9798
MCInstPredicate          | 47           | anonymous_9799
MCInstPredicate          | 48           | anonymous_9800
MCInstPredicate          | 49           | anonymous_9801
MCInstPredicate          | 50           | anonymous_9802
MCInstPredicate          | 51           | anonymous_9803
MCInstPredicate          | 52           | anonymous_9804
MCInstPredicate          | 53           | anonymous_9805
MCInstPredicate          | 54           | anonymous_9806
MCInstPredicate          | 55           | anonymous_9807
MCInstPredicate          | 56           | anonymous_9810
MCInstPredicate          | 57           | anonymous_9811
MCInstPredicate          | 58           | anonymous_9812
MCInstPredicate          | 59           | anonymous_9813
MCInstPredicate          | 60           | anonymous_9814
MCInstPredicate          | 61           | anonymous_9815
MCInstPredicate          | 62           | anonymous_9816
MCInstPredicate          | 63           | anonymous_9817
