TableName                | EntryIndex   | EntryName
SDNode                   | 0            | MMX_X86movd2w
SDNode                   | 1            | MMX_X86movdq2q
SDNode                   | 2            | MMX_X86movq2dq
SDNode                   | 3            | MMX_X86movw2d
SDNode                   | 4            | X86Addsub
SDNode                   | 5            | X86Blendi
SDNode                   | 6            | X86Blendv
SDNode                   | 7            | X86Conflict
SDNode                   | 8            | X86FmaddRnd
SDNode                   | 9            | X86Fmaddsub
SDNode                   | 10           | X86FmaddsubRnd
SDNode                   | 11           | X86Fmsub
SDNode                   | 12           | X86FmsubRnd
SDNode                   | 13           | X86Fmsubadd
SDNode                   | 14           | X86FmsubaddRnd
SDNode                   | 15           | X86Fnmadd
SDNode                   | 16           | X86FnmaddRnd
SDNode                   | 17           | X86Fnmsub
SDNode                   | 18           | X86FnmsubRnd
SDNode                   | 19           | X86GF2P8affineinvqb
SDNode                   | 20           | X86GF2P8affineqb
SDNode                   | 21           | X86GF2P8mulb
SDNode                   | 22           | X86GetMants
SDNode                   | 23           | X86GetMantsSAE
SDNode                   | 24           | X86MFence
SDNode                   | 25           | X86MTruncSStore
SDNode                   | 26           | X86MTruncUSStore
SDNode                   | 27           | X86MemBarrier
SDNode                   | 28           | X86Movddup
SDNode                   | 29           | X86Movhlps
SDNode                   | 30           | X86Movlhps
SDNode                   | 31           | X86Movsd
SDNode                   | 32           | X86Movshdup
SDNode                   | 33           | X86Movsldup
SDNode                   | 34           | X86Movss
SDNode                   | 35           | X86NoTrackBrind
SDNode                   | 36           | X86NoTrackCall
SDNode                   | 37           | X86PAlignr
SDNode                   | 38           | X86PShufd
SDNode                   | 39           | X86PShufhw
SDNode                   | 40           | X86PShuflw
SDNode                   | 41           | X86Packss
SDNode                   | 42           | X86Packus
SDNode                   | 43           | X86ProbedAlloca
SDNode                   | 44           | X86Ranges
SDNode                   | 45           | X86RangesSAE
SDNode                   | 46           | X86RecoverFrameAlloc
SDNode                   | 47           | X86Reduces
SDNode                   | 48           | X86ReducesSAE
SDNode                   | 49           | X86RndScales
SDNode                   | 50           | X86RndScalesSAE
SDNode                   | 51           | X86SegAlloca
SDNode                   | 52           | X86Shuf128
SDNode                   | 53           | X86Shufp
SDNode                   | 54           | X86SintToFp
SDNode                   | 55           | X86SintToFpRnd
SDNode                   | 56           | X86SubVBroadcastld
SDNode                   | 57           | X86TLSCall
SDNode                   | 58           | X86TruncSStore
SDNode                   | 59           | X86TruncUSStore
SDNode                   | 60           | X86UintToFp
SDNode                   | 61           | X86UintToFpRnd
SDNode                   | 62           | X86Unpckh
SDNode                   | 63           | X86Unpckl
SDNode                   | 64           | X86VAlign
SDNode                   | 65           | X86VBroadcast
SDNode                   | 66           | X86VBroadcastld
SDNode                   | 67           | X86VBroadcastm
SDNode                   | 68           | X86VFixupimm
SDNode                   | 69           | X86VFixupimmSAE
SDNode                   | 70           | X86VFixupimmSAEs
SDNode                   | 71           | X86VFixupimms
SDNode                   | 72           | X86VGetMant
SDNode                   | 73           | X86VGetMantSAE
SDNode                   | 74           | X86VMSintToFP
SDNode                   | 75           | X86VMUintToFP
SDNode                   | 76           | X86VPerm2x128
SDNode                   | 77           | X86VPermi
SDNode                   | 78           | X86VPermilpi
SDNode                   | 79           | X86VPermilpv
SDNode                   | 80           | X86VPermt2
SDNode                   | 81           | X86VPermv
SDNode                   | 82           | X86VRange
SDNode                   | 83           | X86VRangeSAE
SDNode                   | 84           | X86VReduce
SDNode                   | 85           | X86VReduceSAE
SDNode                   | 86           | X86VRndScale
SDNode                   | 87           | X86VRndScaleSAE
SDNode                   | 88           | X86VShld
SDNode                   | 89           | X86VShldv
SDNode                   | 90           | X86VShrd
SDNode                   | 91           | X86VShrdv
SDNode                   | 92           | X86VSintToFP
SDNode                   | 93           | X86VSintToFpRnd
SDNode                   | 94           | X86VUintToFP
SDNode                   | 95           | X86VUintToFpRnd
SDNode                   | 96           | X86Vfpclass
SDNode                   | 97           | X86Vfpclasss
SDNode                   | 98           | X86Vpdpbusd
SDNode                   | 99           | X86Vpdpbusds
SDNode                   | 100          | X86Vpdpwssd
SDNode                   | 101          | X86Vpdpwssds
SDNode                   | 102          | X86Vpshufbitqmb
SDNode                   | 103          | X86WinAlloca
SDNode                   | 104          | X86Wrapper
SDNode                   | 105          | X86WrapperRIP
SDNode                   | 106          | X86adc_flag
SDNode                   | 107          | X86add_flag
SDNode                   | 108          | X86aesdec128kl
SDNode                   | 109          | X86aesdec256kl
SDNode                   | 110          | X86aesenc128kl
SDNode                   | 111          | X86aesenc256kl
SDNode                   | 112          | X86and_flag
SDNode                   | 113          | X86andnp
SDNode                   | 114          | X86avg  
SDNode                   | 115          | X86bextr
SDNode                   | 116          | X86bextri
SDNode                   | 117          | X86brcond
SDNode                   | 118          | X86bsf  
SDNode                   | 119          | X86bsr  
SDNode                   | 120          | X86bt   
SDNode                   | 121          | X86bzhi 
SDNode                   | 122          | X86call 
SDNode                   | 123          | X86call_rvmarker
SDNode                   | 124          | X86callseq_end
SDNode                   | 125          | X86callseq_start
SDNode                   | 126          | X86cas  
SDNode                   | 127          | X86cas16
SDNode                   | 128          | X86cas8 
SDNode                   | 129          | X86cmov 
SDNode                   | 130          | X86cmp  
SDNode                   | 131          | X86cmpm 
SDNode                   | 132          | X86cmpmm
SDNode                   | 133          | X86cmpmmSAE
SDNode                   | 134          | X86cmpms
SDNode                   | 135          | X86cmpmsSAE
SDNode                   | 136          | X86cmpp 
SDNode                   | 137          | X86cmps 
SDNode                   | 138          | X86comi 
SDNode                   | 139          | X86compress
SDNode                   | 140          | X86cvtne2ps2bf16
SDNode                   | 141          | X86cvtneps2bf16
SDNode                   | 142          | X86cvtp2Int
SDNode                   | 143          | X86cvtp2IntRnd
SDNode                   | 144          | X86cvtp2UInt
SDNode                   | 145          | X86cvtp2UIntRnd
SDNode                   | 146          | X86cvtph2ps
SDNode                   | 147          | X86cvtph2psSAE
SDNode                   | 148          | X86cvtps2ph
SDNode                   | 149          | X86cvts2si
SDNode                   | 150          | X86cvts2siRnd
SDNode                   | 151          | X86cvts2usi
SDNode                   | 152          | X86cvts2usiRnd
SDNode                   | 153          | X86cvttp2si
SDNode                   | 154          | X86cvttp2siSAE
SDNode                   | 155          | X86cvttp2ui
SDNode                   | 156          | X86cvttp2uiSAE
SDNode                   | 157          | X86cvtts2Int
SDNode                   | 158          | X86cvtts2IntSAE
SDNode                   | 159          | X86cvtts2UInt
SDNode                   | 160          | X86cvtts2UIntSAE
SDNode                   | 161          | X86dbpsadbw
SDNode                   | 162          | X86dpbf16ps
SDNode                   | 163          | X86eh_sjlj_longjmp
SDNode                   | 164          | X86eh_sjlj_setjmp
SDNode                   | 165          | X86eh_sjlj_setup_dispatch
SDNode                   | 166          | X86ehret
SDNode                   | 167          | X86enqcmd
SDNode                   | 168          | X86enqcmds
SDNode                   | 169          | X86exp2 
SDNode                   | 170          | X86exp2SAE
SDNode                   | 171          | X86expand
SDNode                   | 172          | X86extrqi
SDNode                   | 173          | X86faddRnd
SDNode                   | 174          | X86faddRnds
SDNode                   | 175          | X86fadds
SDNode                   | 176          | X86fand 
SDNode                   | 177          | X86fandn
SDNode                   | 178          | X86fcmp 
SDNode                   | 179          | X86fdivRnd
SDNode                   | 180          | X86fdivRnds
SDNode                   | 181          | X86fdivs
SDNode                   | 182          | X86fgetexp
SDNode                   | 183          | X86fgetexpSAE
SDNode                   | 184          | X86fgetexpSAEs
SDNode                   | 185          | X86fgetexps
SDNode                   | 186          | X86fhadd
SDNode                   | 187          | X86fhsub
SDNode                   | 188          | X86fild 
SDNode                   | 189          | X86fist 
SDNode                   | 190          | X86fld  
SDNode                   | 191          | X86fmax 
SDNode                   | 192          | X86fmaxSAE
SDNode                   | 193          | X86fmaxSAEs
SDNode                   | 194          | X86fmaxc
SDNode                   | 195          | X86fmaxs
SDNode                   | 196          | X86fmin 
SDNode                   | 197          | X86fminSAE
SDNode                   | 198          | X86fminSAEs
SDNode                   | 199          | X86fminc
SDNode                   | 200          | X86fmins
SDNode                   | 201          | X86fmulRnd
SDNode                   | 202          | X86fmulRnds
SDNode                   | 203          | X86fmuls
SDNode                   | 204          | X86for  
SDNode                   | 205          | X86fp_cwd_get16
SDNode                   | 206          | X86fp_cwd_set16
SDNode                   | 207          | X86fp_to_mem
SDNode                   | 208          | X86fpexts
SDNode                   | 209          | X86fpextsSAE
SDNode                   | 210          | X86frcp 
SDNode                   | 211          | X86frounds
SDNode                   | 212          | X86froundsRnd
SDNode                   | 213          | X86frsqrt
SDNode                   | 214          | X86fshl 
SDNode                   | 215          | X86fshr 
SDNode                   | 216          | X86fsqrtRnd
SDNode                   | 217          | X86fsqrtRnds
SDNode                   | 218          | X86fsqrts
SDNode                   | 219          | X86fst  
SDNode                   | 220          | X86fsubRnd
SDNode                   | 221          | X86fsubRnds
SDNode                   | 222          | X86fsubs
SDNode                   | 223          | X86fxor 
SDNode                   | 224          | X86hadd 
SDNode                   | 225          | X86hsub 
SDNode                   | 226          | X86insertps
SDNode                   | 227          | X86insertqi
SDNode                   | 228          | X86iret 
SDNode                   | 229          | X86kadd 
SDNode                   | 230          | X86kextract
SDNode                   | 231          | X86kortest
SDNode                   | 232          | X86kshiftl
SDNode                   | 233          | X86kshiftr
SDNode                   | 234          | X86ktest
SDNode                   | 235          | X86lock_add
SDNode                   | 236          | X86lock_and
SDNode                   | 237          | X86lock_or
SDNode                   | 238          | X86lock_sub
SDNode                   | 239          | X86lock_xor
SDNode                   | 240          | X86lwpins
SDNode                   | 241          | X86mcvtneps2bf16
SDNode                   | 242          | X86mcvtp2Int
SDNode                   | 243          | X86mcvtp2UInt
SDNode                   | 244          | X86mcvtps2ph
SDNode                   | 245          | X86mcvttp2si
SDNode                   | 246          | X86mcvttp2ui
SDNode                   | 247          | X86movmsk
SDNode                   | 248          | X86mul_imm
SDNode                   | 249          | X86mulhrs
SDNode                   | 250          | X86multishift
SDNode                   | 251          | X86or_flag
SDNode                   | 252          | X86pcmpeq
SDNode                   | 253          | X86pcmpgt
SDNode                   | 254          | X86pdep 
SDNode                   | 255          | X86pext 
SDNode                   | 256          | X86pextrb
SDNode                   | 257          | X86pextrw
SDNode                   | 258          | X86phminpos
SDNode                   | 259          | X86pinsrb
SDNode                   | 260          | X86pinsrw
SDNode                   | 261          | X86pmuldq
SDNode                   | 262          | X86pmuludq
SDNode                   | 263          | X86psadbw
SDNode                   | 264          | X86pshufb
SDNode                   | 265          | X86ptest
SDNode                   | 266          | X86rcp14
SDNode                   | 267          | X86rcp14s
SDNode                   | 268          | X86rcp28
SDNode                   | 269          | X86rcp28SAE
SDNode                   | 270          | X86rcp28SAEs
SDNode                   | 271          | X86rcp28s
SDNode                   | 272          | X86rdpkru
SDNode                   | 273          | X86rdrand
SDNode                   | 274          | X86rdseed
SDNode                   | 275          | X86rep_movs
SDNode                   | 276          | X86rep_stos
SDNode                   | 277          | X86retflag
SDNode                   | 278          | X86rsqrt14
SDNode                   | 279          | X86rsqrt14s
SDNode                   | 280          | X86rsqrt28
SDNode                   | 281          | X86rsqrt28SAE
SDNode                   | 282          | X86rsqrt28SAEs
SDNode                   | 283          | X86rsqrt28s
SDNode                   | 284          | X86sbb_flag
SDNode                   | 285          | X86scalef
SDNode                   | 286          | X86scalefRnd
SDNode                   | 287          | X86scalefs
SDNode                   | 288          | X86scalefsRnd
SDNode                   | 289          | X86selects
SDNode                   | 290          | X86setcc
SDNode                   | 291          | X86setcc_c
SDNode                   | 292          | X86setcc_commute
SDNode                   | 293          | X86smul_flag
SDNode                   | 294          | X86strict_Fmsub
SDNode                   | 295          | X86strict_Fnmadd
SDNode                   | 296          | X86strict_Fnmsub
SDNode                   | 297          | X86strict_VRndScale
SDNode                   | 298          | X86strict_VSintToFP
SDNode                   | 299          | X86strict_VUintToFP
SDNode                   | 300          | X86strict_cmpm
SDNode                   | 301          | X86strict_cmpp
SDNode                   | 302          | X86strict_cvtph2ps
SDNode                   | 303          | X86strict_cvtps2ph
SDNode                   | 304          | X86strict_cvttp2si
