TableName                | EntryIndex   | EntryName
SDPatternOperatorData    | 0            | AndMask64
SDPatternOperatorData    | 1            | BTCBTSMask64
SDPatternOperatorData    | 2            | BTRMask64
SDPatternOperatorData    | 3            | CommutableCMPCC
SDPatternOperatorData    | 4            | MMX_X86movd2w
SDPatternOperatorData    | 5            | MMX_X86movdq2q
SDPatternOperatorData    | 6            | MMX_X86movq2dq
SDPatternOperatorData    | 7            | MMX_X86movw2d
SDPatternOperatorData    | 8            | PrefetchWLevel
SDPatternOperatorData    | 9            | PrefetchWT1Level
SDPatternOperatorData    | 10           | X86Addsub
SDPatternOperatorData    | 11           | X86Blendi
SDPatternOperatorData    | 12           | X86Blendv
SDPatternOperatorData    | 13           | X86Conflict
SDPatternOperatorData    | 14           | X86FmaddRnd
SDPatternOperatorData    | 15           | X86Fmaddsub
SDPatternOperatorData    | 16           | X86FmaddsubRnd
SDPatternOperatorData    | 17           | X86Fmsub
SDPatternOperatorData    | 18           | X86FmsubRnd
SDPatternOperatorData    | 19           | X86Fmsubadd
SDPatternOperatorData    | 20           | X86FmsubaddRnd
SDPatternOperatorData    | 21           | X86Fnmadd
SDPatternOperatorData    | 22           | X86FnmaddRnd
SDPatternOperatorData    | 23           | X86Fnmsub
SDPatternOperatorData    | 24           | X86FnmsubRnd
SDPatternOperatorData    | 25           | X86GF2P8affineinvqb
SDPatternOperatorData    | 26           | X86GF2P8affineqb
SDPatternOperatorData    | 27           | X86GF2P8mulb
SDPatternOperatorData    | 28           | X86GetMants
SDPatternOperatorData    | 29           | X86GetMantsSAE
SDPatternOperatorData    | 30           | X86MFence
SDPatternOperatorData    | 31           | X86MTruncSStore
SDPatternOperatorData    | 32           | X86MTruncUSStore
SDPatternOperatorData    | 33           | X86MemBarrier
SDPatternOperatorData    | 34           | X86Movddup
SDPatternOperatorData    | 35           | X86Movhlps
SDPatternOperatorData    | 36           | X86Movlhps
SDPatternOperatorData    | 37           | X86Movsd
SDPatternOperatorData    | 38           | X86Movshdup
SDPatternOperatorData    | 39           | X86Movsldup
SDPatternOperatorData    | 40           | X86Movss
SDPatternOperatorData    | 41           | X86NoTrackBrind
SDPatternOperatorData    | 42           | X86NoTrackCall
SDPatternOperatorData    | 43           | X86PAlignr
SDPatternOperatorData    | 44           | X86PShufd
SDPatternOperatorData    | 45           | X86PShufhw
SDPatternOperatorData    | 46           | X86PShuflw
SDPatternOperatorData    | 47           | X86Packss
SDPatternOperatorData    | 48           | X86Packus
SDPatternOperatorData    | 49           | X86ProbedAlloca
SDPatternOperatorData    | 50           | X86Ranges
SDPatternOperatorData    | 51           | X86RangesSAE
SDPatternOperatorData    | 52           | X86RecoverFrameAlloc
SDPatternOperatorData    | 53           | X86Reduces
SDPatternOperatorData    | 54           | X86ReducesSAE
SDPatternOperatorData    | 55           | X86RndScales
SDPatternOperatorData    | 56           | X86RndScalesSAE
SDPatternOperatorData    | 57           | X86SegAlloca
SDPatternOperatorData    | 58           | X86Shuf128
SDPatternOperatorData    | 59           | X86Shufp
SDPatternOperatorData    | 60           | X86SintToFp
SDPatternOperatorData    | 61           | X86SintToFpRnd
SDPatternOperatorData    | 62           | X86SubVBroadcastld
SDPatternOperatorData    | 63           | X86SubVBroadcastld128
SDPatternOperatorData    | 64           | X86SubVBroadcastld256
SDPatternOperatorData    | 65           | X86TLSCall
SDPatternOperatorData    | 66           | X86TruncSStore
SDPatternOperatorData    | 67           | X86TruncUSStore
SDPatternOperatorData    | 68           | X86UintToFp
SDPatternOperatorData    | 69           | X86UintToFpRnd
SDPatternOperatorData    | 70           | X86Unpckh
SDPatternOperatorData    | 71           | X86Unpckl
SDPatternOperatorData    | 72           | X86VAlign
SDPatternOperatorData    | 73           | X86VBroadcast
SDPatternOperatorData    | 74           | X86VBroadcastld
SDPatternOperatorData    | 75           | X86VBroadcastld16
SDPatternOperatorData    | 76           | X86VBroadcastld32
SDPatternOperatorData    | 77           | X86VBroadcastld64
SDPatternOperatorData    | 78           | X86VBroadcastld8
SDPatternOperatorData    | 79           | X86VBroadcastm
SDPatternOperatorData    | 80           | X86VFixupimm
SDPatternOperatorData    | 81           | X86VFixupimmSAE
SDPatternOperatorData    | 82           | X86VFixupimmSAEs
SDPatternOperatorData    | 83           | X86VFixupimms
SDPatternOperatorData    | 84           | X86VGetMant
SDPatternOperatorData    | 85           | X86VGetMantSAE
SDPatternOperatorData    | 86           | X86VMSintToFP
SDPatternOperatorData    | 87           | X86VMUintToFP
SDPatternOperatorData    | 88           | X86VPerm2x128
SDPatternOperatorData    | 89           | X86VPermi
SDPatternOperatorData    | 90           | X86VPermilpi
SDPatternOperatorData    | 91           | X86VPermilpv
SDPatternOperatorData    | 92           | X86VPermt2
SDPatternOperatorData    | 93           | X86VPermv
SDPatternOperatorData    | 94           | X86VRange
SDPatternOperatorData    | 95           | X86VRangeSAE
SDPatternOperatorData    | 96           | X86VReduce
SDPatternOperatorData    | 97           | X86VReduceSAE
SDPatternOperatorData    | 98           | X86VRndScale
SDPatternOperatorData    | 99           | X86VRndScaleSAE
SDPatternOperatorData    | 100          | X86VShld
SDPatternOperatorData    | 101          | X86VShldv
SDPatternOperatorData    | 102          | X86VShrd
