TableName                | EntryIndex   | EntryName
SDTypeConstraintData     | 0            | anonymous_3664
SDTypeConstraintData     | 1            | anonymous_3665
SDTypeConstraintData     | 2            | anonymous_3666
SDTypeConstraintData     | 3            | anonymous_3667
SDTypeConstraintData     | 4            | anonymous_3668
SDTypeConstraintData     | 5            | anonymous_3669
SDTypeConstraintData     | 6            | anonymous_3670
SDTypeConstraintData     | 7            | anonymous_3671
SDTypeConstraintData     | 8            | anonymous_3672
SDTypeConstraintData     | 9            | anonymous_3673
SDTypeConstraintData     | 10           | anonymous_3674
SDTypeConstraintData     | 11           | anonymous_3675
SDTypeConstraintData     | 12           | anonymous_3676
SDTypeConstraintData     | 13           | anonymous_3677
SDTypeConstraintData     | 14           | anonymous_3678
SDTypeConstraintData     | 15           | anonymous_3679
SDTypeConstraintData     | 16           | anonymous_3680
SDTypeConstraintData     | 17           | anonymous_3681
SDTypeConstraintData     | 18           | anonymous_3682
SDTypeConstraintData     | 19           | anonymous_3683
SDTypeConstraintData     | 20           | anonymous_3684
SDTypeConstraintData     | 21           | anonymous_3685
SDTypeConstraintData     | 22           | anonymous_3686
SDTypeConstraintData     | 23           | anonymous_3687
SDTypeConstraintData     | 24           | anonymous_3688
SDTypeConstraintData     | 25           | anonymous_3689
SDTypeConstraintData     | 26           | anonymous_3690
SDTypeConstraintData     | 27           | anonymous_3691
SDTypeConstraintData     | 28           | anonymous_3692
SDTypeConstraintData     | 29           | anonymous_3693
SDTypeConstraintData     | 30           | anonymous_3694
SDTypeConstraintData     | 31           | anonymous_3695
SDTypeConstraintData     | 32           | anonymous_3696
SDTypeConstraintData     | 33           | anonymous_3697
SDTypeConstraintData     | 34           | anonymous_3698
SDTypeConstraintData     | 35           | anonymous_3699
SDTypeConstraintData     | 36           | anonymous_3700
SDTypeConstraintData     | 37           | anonymous_3701
SDTypeConstraintData     | 38           | anonymous_3707
SDTypeConstraintData     | 39           | anonymous_3712
SDTypeConstraintData     | 40           | anonymous_3842
SDTypeConstraintData     | 41           | anonymous_3843
SDTypeConstraintData     | 42           | anonymous_3844
SDTypeConstraintData     | 43           | anonymous_3845
SDTypeConstraintData     | 44           | anonymous_3846
SDTypeConstraintData     | 45           | anonymous_3847
SDTypeConstraintData     | 46           | anonymous_3848
SDTypeConstraintData     | 47           | anonymous_3849
SDTypeConstraintData     | 48           | anonymous_3850
SDTypeConstraintData     | 49           | anonymous_3851
SDTypeConstraintData     | 50           | anonymous_3852
SDTypeConstraintData     | 51           | anonymous_3853
SDTypeConstraintData     | 52           | anonymous_3854
SDTypeConstraintData     | 53           | anonymous_3855
SDTypeConstraintData     | 54           | anonymous_3860
SDTypeConstraintData     | 55           | anonymous_4326
SDTypeConstraintData     | 56           | anonymous_4328
SDTypeConstraintData     | 57           | anonymous_4330
SDTypeConstraintData     | 58           | anonymous_4332
SDTypeConstraintData     | 59           | anonymous_4333
SDTypeConstraintData     | 60           | anonymous_4334
SDTypeConstraintData     | 61           | anonymous_4336
SDTypeConstraintData     | 62           | anonymous_4340
SDTypeConstraintData     | 63           | anonymous_4342
SDTypeConstraintData     | 64           | anonymous_4344
SDTypeConstraintData     | 65           | anonymous_4346
SDTypeConstraintData     | 66           | anonymous_4348
SDTypeConstraintData     | 67           | anonymous_4349
SDTypeConstraintData     | 68           | anonymous_4352
SDTypeConstraintData     | 69           | anonymous_4353
SDTypeConstraintData     | 70           | anonymous_4354
SDTypeConstraintData     | 71           | anonymous_4355
SDTypeConstraintData     | 72           | anonymous_4357
SDTypeConstraintData     | 73           | anonymous_4358
SDTypeConstraintData     | 74           | anonymous_4360
SDTypeConstraintData     | 75           | anonymous_4361
SDTypeConstraintData     | 76           | anonymous_4364
SDTypeConstraintData     | 77           | anonymous_4367
SDTypeConstraintData     | 78           | anonymous_4368
SDTypeConstraintData     | 79           | anonymous_4369
SDTypeConstraintData     | 80           | anonymous_4371
SDTypeConstraintData     | 81           | anonymous_4374
SDTypeConstraintData     | 82           | anonymous_4375
SDTypeConstraintData     | 83           | anonymous_4379
SDTypeConstraintData     | 84           | anonymous_4384
SDTypeConstraintData     | 85           | anonymous_4387
SDTypeConstraintData     | 86           | anonymous_4388
SDTypeConstraintData     | 87           | anonymous_4389
SDTypeConstraintData     | 88           | anonymous_4391
SDTypeConstraintData     | 89           | anonymous_4394
SDTypeConstraintData     | 90           | anonymous_4395
SDTypeConstraintData     | 91           | anonymous_4400
SDTypeConstraintData     | 92           | anonymous_4403
SDTypeConstraintData     | 93           | anonymous_4407
SDTypeConstraintData     | 94           | anonymous_4408
SDTypeConstraintData     | 95           | anonymous_4415
SDTypeConstraintData     | 96           | anonymous_6080
SDTypeConstraintData     | 97           | anonymous_8715
