TableName                | EntryIndex   | EntryName
OpCodeStrings            | 0            | 00 /r   
OpCodeStrings            | 1            | 01 /r   
OpCodeStrings            | 2            | 01 /r   
OpCodeStrings            | 3            | 02 /r   
OpCodeStrings            | 4            | 03 /r   
OpCodeStrings            | 5            | 03 /r   
OpCodeStrings            | 6            | 04 ib   
OpCodeStrings            | 7            | 05 id   
OpCodeStrings            | 8            | 05 iw   
OpCodeStrings            | 9            | 06      
OpCodeStrings            | 10           | 07      
OpCodeStrings            | 11           | 08 /r   
OpCodeStrings            | 12           | 09 /r   
OpCodeStrings            | 13           | 09 /r   
OpCodeStrings            | 14           | 0A /r   
OpCodeStrings            | 15           | 0B /r   
OpCodeStrings            | 16           | 0B /r   
OpCodeStrings            | 17           | 0C ib   
OpCodeStrings            | 18           | 0D id   
OpCodeStrings            | 19           | 0D iw   
OpCodeStrings            | 20           | 0E      
OpCodeStrings            | 21           | 0F 00 /2
OpCodeStrings            | 22           | 0F 01 /2
OpCodeStrings            | 23           | 0F 01 /2
OpCodeStrings            | 24           | 0F 01 /3
OpCodeStrings            | 25           | 0F 01 /3
OpCodeStrings            | 26           | 0F 01 /6
OpCodeStrings            | 27           | 0F 03 /r
OpCodeStrings            | 28           | 0F 03 /r
OpCodeStrings            | 29           | 0F 05   
OpCodeStrings            | 30           | 0F 06   
OpCodeStrings            | 31           | 0F 18 /0
OpCodeStrings            | 32           | 0F 18 /1
OpCodeStrings            | 33           | 0F 18 /2
OpCodeStrings            | 34           | 0F 18 /3
OpCodeStrings            | 35           | 0F 20/r 
OpCodeStrings            | 36           | 0F 20/r 
OpCodeStrings            | 37           | 0F 21/r 
OpCodeStrings            | 38           | 0F 21/r 
OpCodeStrings            | 39           | 0F 22 /r
OpCodeStrings            | 40           | 0F 22 /r
OpCodeStrings            | 41           | 0F 23 /r
OpCodeStrings            | 42           | 0F 23 /r
OpCodeStrings            | 43           | 0F 31   
OpCodeStrings            | 44           | 0F 40 /r
OpCodeStrings            | 45           | 0F 40 /r
OpCodeStrings            | 46           | 0F 41 /r
OpCodeStrings            | 47           | 0F 41 /r
OpCodeStrings            | 48           | 0F 42 /r
OpCodeStrings            | 49           | 0F 42 /r
OpCodeStrings            | 50           | 0F 42 /r
OpCodeStrings            | 51           | 0F 42 /r
OpCodeStrings            | 52           | 0F 42 /r
OpCodeStrings            | 53           | 0F 42 /r
OpCodeStrings            | 54           | 0F 43 /r
OpCodeStrings            | 55           | 0F 43 /r
OpCodeStrings            | 56           | 0F 43 /r
OpCodeStrings            | 57           | 0F 43 /r
OpCodeStrings            | 58           | 0F 43 /r
OpCodeStrings            | 59           | 0F 43 /r
OpCodeStrings            | 60           | 0F 44 /r
OpCodeStrings            | 61           | 0F 44 /r
OpCodeStrings            | 62           | 0F 44 /r
OpCodeStrings            | 63           | 0F 44 /r
OpCodeStrings            | 64           | 0F 45 /r
OpCodeStrings            | 65           | 0F 45 /r
OpCodeStrings            | 66           | 0F 45 /r
OpCodeStrings            | 67           | 0F 45 /r
OpCodeStrings            | 68           | 0F 46 /r
OpCodeStrings            | 69           | 0F 46 /r
OpCodeStrings            | 70           | 0F 46 /r
OpCodeStrings            | 71           | 0F 46 /r
OpCodeStrings            | 72           | 0F 47 /r
OpCodeStrings            | 73           | 0F 47 /r
OpCodeStrings            | 74           | 0F 47 /r
OpCodeStrings            | 75           | 0F 47 /r
OpCodeStrings            | 76           | 0F 48 /r
OpCodeStrings            | 77           | 0F 48 /r
OpCodeStrings            | 78           | 0F 49 /r
OpCodeStrings            | 79           | 0F 49 /r
OpCodeStrings            | 80           | 0F 4A /r
OpCodeStrings            | 81           | 0F 4A /r
OpCodeStrings            | 82           | 0F 4A /r
OpCodeStrings            | 83           | 0F 4A /r
OpCodeStrings            | 84           | 0F 4B /r
OpCodeStrings            | 85           | 0F 4B /r
OpCodeStrings            | 86           | 0F 4B /r
OpCodeStrings            | 87           | 0F 4B /r
OpCodeStrings            | 88           | 0F 4C /r
OpCodeStrings            | 89           | 0F 4C /r
OpCodeStrings            | 90           | 0F 4C /r
OpCodeStrings            | 91           | 0F 4C /r
OpCodeStrings            | 92           | 0F 4D /r
OpCodeStrings            | 93           | 0F 4D /r
OpCodeStrings            | 94           | 0F 4D /r
OpCodeStrings            | 95           | 0F 4D /r
OpCodeStrings            | 96           | 0F 4E /r
OpCodeStrings            | 97           | 0F 4E /r
OpCodeStrings            | 98           | 0F 4E /r
OpCodeStrings            | 99           | 0F 4E /r
OpCodeStrings            | 100          | 0F 4F /r
OpCodeStrings            | 101          | 0F 4F /r
OpCodeStrings            | 102          | 0F 4F /r
OpCodeStrings            | 103          | 0F 4F /r
OpCodeStrings            | 104          | 0F 80 cd
OpCodeStrings            | 105          | 0F 80 cw
OpCodeStrings            | 106          | 0F 81 cd
OpCodeStrings            | 107          | 0F 81 cw
OpCodeStrings            | 108          | 0F 82 cd
OpCodeStrings            | 109          | 0F 82 cd
OpCodeStrings            | 110          | 0F 82 cd
OpCodeStrings            | 111          | 0F 82 cw
OpCodeStrings            | 112          | 0F 82 cw
OpCodeStrings            | 113          | 0F 82 cw
OpCodeStrings            | 114          | 0F 83 cd
OpCodeStrings            | 115          | 0F 83 cd
OpCodeStrings            | 116          | 0F 83 cd
OpCodeStrings            | 117          | 0F 83 cw
OpCodeStrings            | 118          | 0F 83 cw
OpCodeStrings            | 119          | 0F 83 cw
OpCodeStrings            | 120          | 0F 84 cd
OpCodeStrings            | 121          | 0F 84 cd
OpCodeStrings            | 122          | 0F 84 cw
OpCodeStrings            | 123          | 0F 84 cw
OpCodeStrings            | 124          | 0F 85 cd
OpCodeStrings            | 125          | 0F 85 cd
OpCodeStrings            | 126          | 0F 85 cw
OpCodeStrings            | 127          | 0F 85 cw
OpCodeStrings            | 128          | 0F 86 cd
OpCodeStrings            | 129          | 0F 86 cd
OpCodeStrings            | 130          | 0F 86 cw
OpCodeStrings            | 131          | 0F 86 cw
OpCodeStrings            | 132          | 0F 87 cd
OpCodeStrings            | 133          | 0F 87 cd
OpCodeStrings            | 134          | 0F 87 cw
OpCodeStrings            | 135          | 0F 87 cw
OpCodeStrings            | 136          | 0F 88 cd
OpCodeStrings            | 137          | 0F 88 cw
OpCodeStrings            | 138          | 0F 89 cd
OpCodeStrings            | 139          | 0F 89 cw
OpCodeStrings            | 140          | 0F 8A cd
OpCodeStrings            | 141          | 0F 8A cd
OpCodeStrings            | 142          | 0F 8A cw
OpCodeStrings            | 143          | 0F 8A cw
OpCodeStrings            | 144          | 0F 8B cd
OpCodeStrings            | 145          | 0F 8B cd
OpCodeStrings            | 146          | 0F 8B cw
OpCodeStrings            | 147          | 0F 8B cw
OpCodeStrings            | 148          | 0F 8C cd
OpCodeStrings            | 149          | 0F 8C cd
OpCodeStrings            | 150          | 0F 8C cw
OpCodeStrings            | 151          | 0F 8C cw
OpCodeStrings            | 152          | 0F 8D cd
OpCodeStrings            | 153          | 0F 8D cd
OpCodeStrings            | 154          | 0F 8D cw
OpCodeStrings            | 155          | 0F 8D cw
OpCodeStrings            | 156          | 0F 8E cd
OpCodeStrings            | 157          | 0F 8E cd
OpCodeStrings            | 158          | 0F 8E cw
OpCodeStrings            | 159          | 0F 8E cw
OpCodeStrings            | 160          | 0F 8F cd
OpCodeStrings            | 161          | 0F 8F cd
OpCodeStrings            | 162          | 0F 8F cw
OpCodeStrings            | 163          | 0F 8F cw
OpCodeStrings            | 164          | 0F 90   
OpCodeStrings            | 165          | 0F 91   
OpCodeStrings            | 166          | 0F 92   
OpCodeStrings            | 167          | 0F 92   
OpCodeStrings            | 168          | 0F 92   
OpCodeStrings            | 169          | 0F 93   
OpCodeStrings            | 170          | 0F 93   
OpCodeStrings            | 171          | 0F 93   
OpCodeStrings            | 172          | 0F 94   
OpCodeStrings            | 173          | 0F 94   
OpCodeStrings            | 174          | 0F 95   
OpCodeStrings            | 175          | 0F 95   
OpCodeStrings            | 176          | 0F 96   
OpCodeStrings            | 177          | 0F 96   
OpCodeStrings            | 178          | 0F 97   
OpCodeStrings            | 179          | 0F 97   
OpCodeStrings            | 180          | 0F 98   
OpCodeStrings            | 181          | 0F 99   
