TableName                | EntryIndex   | EntryName
CallingConv              | 0            | CC_Intel_OCL_BI
CallingConv              | 1            | CC_X86  
CallingConv              | 2            | CC_X86_32
CallingConv              | 3            | CC_X86_32_C
CallingConv              | 4            | CC_X86_32_Common
CallingConv              | 5            | CC_X86_32_FastCC
CallingConv              | 6            | CC_X86_32_FastCall
CallingConv              | 7            | CC_X86_32_GHC
CallingConv              | 8            | CC_X86_32_HiPE
CallingConv              | 9            | CC_X86_32_MCU
CallingConv              | 10           | CC_X86_32_RegCall
CallingConv              | 11           | CC_X86_32_ThisCall
CallingConv              | 12           | CC_X86_32_ThisCall_Common
CallingConv              | 13           | CC_X86_32_ThisCall_Mingw
CallingConv              | 14           | CC_X86_32_ThisCall_Win
CallingConv              | 15           | CC_X86_32_Vector_Common
CallingConv              | 16           | CC_X86_32_Vector_Darwin
CallingConv              | 17           | CC_X86_32_Vector_Standard
CallingConv              | 18           | CC_X86_64
CallingConv              | 19           | CC_X86_64_AnyReg
CallingConv              | 20           | CC_X86_64_C
CallingConv              | 21           | CC_X86_64_GHC
CallingConv              | 22           | CC_X86_64_HHVM
CallingConv              | 23           | CC_X86_64_HHVM_C
CallingConv              | 24           | CC_X86_64_HiPE
CallingConv              | 25           | CC_X86_64_WebKit_JS
CallingConv              | 26           | CC_X86_SysV64_RegCall
CallingConv              | 27           | CC_X86_Win32_CFGuard_Check
CallingConv              | 28           | CC_X86_Win32_VectorCall
CallingConv              | 29           | CC_X86_Win64_C
CallingConv              | 30           | CC_X86_Win64_RegCall
CallingConv              | 31           | CC_X86_Win64_VectorCall
CallingConv              | 32           | RetCC_Intel_OCL_BI
CallingConv              | 33           | RetCC_X86
CallingConv              | 34           | RetCC_X86Common
CallingConv              | 35           | RetCC_X86_32
CallingConv              | 36           | RetCC_X86_32_C
CallingConv              | 37           | RetCC_X86_32_Fast
CallingConv              | 38           | RetCC_X86_32_HiPE
CallingConv              | 39           | RetCC_X86_32_RegCall
CallingConv              | 40           | RetCC_X86_32_VectorCall
CallingConv              | 41           | RetCC_X86_64
CallingConv              | 42           | RetCC_X86_64_AnyReg
CallingConv              | 43           | RetCC_X86_64_C
CallingConv              | 44           | RetCC_X86_64_HHVM
CallingConv              | 45           | RetCC_X86_64_HiPE
CallingConv              | 46           | RetCC_X86_64_Swift
CallingConv              | 47           | RetCC_X86_64_Vectorcall
CallingConv              | 48           | RetCC_X86_64_WebKit_JS
CallingConv              | 49           | RetCC_X86_SysV64_RegCall
CallingConv              | 50           | RetCC_X86_Win64_C
CallingConv              | 51           | RetCC_X86_Win64_RegCall
