TableName                | EntryIndex   | EntryName
Instruction              | 0            | AAA     
Instruction              | 1            | AAD8i8  
Instruction              | 2            | AAM8i8  
Instruction              | 3            | AAS     
Instruction              | 4            | ABS_F   
Instruction              | 5            | ABS_Fp32
Instruction              | 6            | ABS_Fp64
Instruction              | 7            | ABS_Fp80
Instruction              | 8            | ADC16i16
Instruction              | 9            | ADC16mi 
Instruction              | 10           | ADC16mi8
Instruction              | 11           | ADC16mr 
Instruction              | 12           | ADC16ri 
Instruction              | 13           | ADC16ri8
Instruction              | 14           | ADC16rm 
Instruction              | 15           | ADC16rr 
Instruction              | 16           | ADC16rr_REV
Instruction              | 17           | ADC32i32
Instruction              | 18           | ADC32mi 
Instruction              | 19           | ADC32mi8
Instruction              | 20           | ADC32mr 
Instruction              | 21           | ADC32ri 
Instruction              | 22           | ADC32ri8
Instruction              | 23           | ADC32rm 
Instruction              | 24           | ADC32rr 
Instruction              | 25           | ADC32rr_REV
Instruction              | 26           | ADC64i32
Instruction              | 27           | ADC64mi32
Instruction              | 28           | ADC64mi8
Instruction              | 29           | ADC64mr 
Instruction              | 30           | ADC64ri32
Instruction              | 31           | ADC64ri8
Instruction              | 32           | ADC64rm 
Instruction              | 33           | ADC64rr 
Instruction              | 34           | ADC64rr_REV
Instruction              | 35           | ADC8i8  
Instruction              | 36           | ADC8mi  
Instruction              | 37           | ADC8mi8 
Instruction              | 38           | ADC8mr  
Instruction              | 39           | ADC8ri  
Instruction              | 40           | ADC8ri8 
Instruction              | 41           | ADC8rm  
Instruction              | 42           | ADC8rr  
Instruction              | 43           | ADC8rr_REV
Instruction              | 44           | ADCX32rm
Instruction              | 45           | ADCX32rr
Instruction              | 46           | ADCX64rm
Instruction              | 47           | ADCX64rr
Instruction              | 48           | ADD16i16
Instruction              | 49           | ADD16mi 
Instruction              | 50           | ADD16mi8
Instruction              | 51           | ADD16mr 
Instruction              | 52           | ADD16ri 
Instruction              | 53           | ADD16ri8
Instruction              | 54           | ADD16ri8_DB
Instruction              | 55           | ADD16ri_DB
Instruction              | 56           | ADD16rm 
Instruction              | 57           | ADD16rr 
Instruction              | 58           | ADD16rr_DB
Instruction              | 59           | ADD16rr_REV
Instruction              | 60           | ADD32i32
Instruction              | 61           | ADD32mi 
Instruction              | 62           | ADD32mi8
Instruction              | 63           | ADD32mr 
Instruction              | 64           | ADD32ri 
Instruction              | 65           | ADD32ri8
Instruction              | 66           | ADD32ri8_DB
Instruction              | 67           | ADD32ri_DB
Instruction              | 68           | ADD32rm 
Instruction              | 69           | ADD32rr 
Instruction              | 70           | ADD32rr_DB
Instruction              | 71           | ADD32rr_REV
Instruction              | 72           | ADD64i32
Instruction              | 73           | ADD64mi32
Instruction              | 74           | ADD64mi8
Instruction              | 75           | ADD64mr 
Instruction              | 76           | ADD64ri32
Instruction              | 77           | ADD64ri32_DB
Instruction              | 78           | ADD64ri8
Instruction              | 79           | ADD64ri8_DB
Instruction              | 80           | ADD64rm 
Instruction              | 81           | ADD64rr 
Instruction              | 82           | ADD64rr_DB
Instruction              | 83           | ADD64rr_REV
Instruction              | 84           | ADD8i8  
Instruction              | 85           | ADD8mi  
Instruction              | 86           | ADD8mi8 
Instruction              | 87           | ADD8mr  
Instruction              | 88           | ADD8ri  
Instruction              | 89           | ADD8ri8 
Instruction              | 90           | ADD8ri_DB
Instruction              | 91           | ADD8rm  
Instruction              | 92           | ADD8rr  
Instruction              | 93           | ADD8rr_DB
Instruction              | 94           | ADD8rr_REV
Instruction              | 95           | ADDPDrm 
Instruction              | 96           | ADDPDrr 
Instruction              | 97           | ADDPSrm 
Instruction              | 98           | ADDPSrr 
Instruction              | 99           | ADDR16_PREFIX
Instruction              | 100          | ADDR32_PREFIX
Instruction              | 101          | ADDSDrm 
Instruction              | 102          | ADDSDrm_Int
Instruction              | 103          | ADDSDrr 
Instruction              | 104          | ADDSDrr_Int
Instruction              | 105          | ADDSSrm 
Instruction              | 106          | ADDSSrm_Int
Instruction              | 107          | ADDSSrr 
Instruction              | 108          | ADDSSrr_Int
Instruction              | 109          | ADDSUBPDrm
Instruction              | 110          | ADDSUBPDrr
Instruction              | 111          | ADDSUBPSrm
Instruction              | 112          | ADDSUBPSrr
Instruction              | 113          | ADD_F32m
Instruction              | 114          | ADD_F64m
Instruction              | 115          | ADD_FI16m
Instruction              | 116          | ADD_FI32m
Instruction              | 117          | ADD_FPrST0
Instruction              | 118          | ADD_FST0r
Instruction              | 119          | ADD_Fp32
Instruction              | 120          | ADD_Fp32m
Instruction              | 121          | ADD_Fp64
Instruction              | 122          | ADD_Fp64m
Instruction              | 123          | ADD_Fp64m32
Instruction              | 124          | ADD_Fp80
Instruction              | 125          | ADD_Fp80m32
Instruction              | 126          | ADD_Fp80m64
Instruction              | 127          | ADD_FpI16m32
Instruction              | 128          | ADD_FpI16m64
Instruction              | 129          | ADD_FpI16m80
Instruction              | 130          | ADD_FpI32m32
Instruction              | 131          | ADD_FpI32m64
Instruction              | 132          | ADD_FpI32m80
Instruction              | 133          | ADD_FrST0
Instruction              | 134          | ADJCALLSTACKDOWN32
Instruction              | 135          | ADJCALLSTACKDOWN64
Instruction              | 136          | ADJCALLSTACKUP32
Instruction              | 137          | ADJCALLSTACKUP64
Instruction              | 138          | ADOX32rm
Instruction              | 139          | ADOX32rr
Instruction              | 140          | ADOX64rm
Instruction              | 141          | ADOX64rr
Instruction              | 142          | AESDEC128KL
Instruction              | 143          | AESDEC256KL
Instruction              | 144          | AESDECLASTrm
Instruction              | 145          | AESDECLASTrr
Instruction              | 146          | AESDECWIDE128KL
Instruction              | 147          | AESDECWIDE256KL
Instruction              | 148          | AESDECrm
Instruction              | 149          | AESDECrr
Instruction              | 150          | AESENC128KL
Instruction              | 151          | AESENC256KL
Instruction              | 152          | AESENCLASTrm
Instruction              | 153          | AESENCLASTrr
Instruction              | 154          | AESENCWIDE128KL
Instruction              | 155          | AESENCWIDE256KL
Instruction              | 156          | AESENCrm
Instruction              | 157          | AESENCrr
Instruction              | 158          | AESIMCrm
Instruction              | 159          | AESIMCrr
Instruction              | 160          | AESKEYGENASSIST128rm
Instruction              | 161          | AESKEYGENASSIST128rr
Instruction              | 162          | AND16i16
Instruction              | 163          | AND16mi 
Instruction              | 164          | AND16mi8
Instruction              | 165          | AND16mr 
Instruction              | 166          | AND16ri 
Instruction              | 167          | AND16ri8
Instruction              | 168          | AND16rm 
Instruction              | 169          | AND16rr 
Instruction              | 170          | AND16rr_REV
Instruction              | 171          | AND32i32
Instruction              | 172          | AND32mi 
Instruction              | 173          | AND32mi8
Instruction              | 174          | AND32mr 
Instruction              | 175          | AND32ri 
Instruction              | 176          | AND32ri8
Instruction              | 177          | AND32rm 
Instruction              | 178          | AND32rr 
Instruction              | 179          | AND32rr_REV
Instruction              | 180          | AND64i32
Instruction              | 181          | AND64mi32
Instruction              | 182          | AND64mi8
Instruction              | 183          | AND64mr 
Instruction              | 184          | AND64ri32
Instruction              | 185          | AND64ri8
Instruction              | 186          | AND64rm 
Instruction              | 187          | AND64rr 
Instruction              | 188          | AND64rr_REV
Instruction              | 189          | AND8i8  
Instruction              | 190          | AND8mi  
Instruction              | 191          | AND8mi8 
Instruction              | 192          | AND8mr  
Instruction              | 193          | AND8ri  
Instruction              | 194          | AND8ri8 
Instruction              | 195          | AND8rm  
Instruction              | 196          | AND8rr  
Instruction              | 197          | AND8rr_REV
Instruction              | 198          | ANDN32rm
Instruction              | 199          | ANDN32rr
Instruction              | 200          | ANDN64rm
Instruction              | 201          | ANDN64rr
Instruction              | 202          | ANDNPDrm
Instruction              | 203          | ANDNPDrr
Instruction              | 204          | ANDNPSrm
Instruction              | 205          | ANDNPSrr
Instruction              | 206          | ANDPDrm 
Instruction              | 207          | ANDPDrr 
Instruction              | 208          | ANDPSrm 
Instruction              | 209          | ANDPSrr 
Instruction              | 210          | ANNOTATION_LABEL
Instruction              | 211          | ARITH_FENCE
Instruction              | 212          | ARPL16mr
Instruction              | 213          | ARPL16rr
Instruction              | 214          | AVX1_SETALLONES
Instruction              | 215          | AVX2_SETALLONES
Instruction              | 216          | AVX512_128_SET0
Instruction              | 217          | AVX512_256_SET0
Instruction              | 218          | AVX512_512_SET0
Instruction              | 219          | AVX512_512_SETALLONES
Instruction              | 220          | AVX512_512_SEXT_MASK_32
Instruction              | 221          | AVX512_512_SEXT_MASK_64
Instruction              | 222          | AVX512_FsFLD0F128
Instruction              | 223          | AVX512_FsFLD0SD
Instruction              | 224          | AVX512_FsFLD0SS
Instruction              | 225          | AVX_SET0
Instruction              | 226          | BEXTR32rm
Instruction              | 227          | BEXTR32rr
Instruction              | 228          | BEXTR64rm
Instruction              | 229          | BEXTR64rr
Instruction              | 230          | BEXTRI32mi
Instruction              | 231          | BEXTRI32ri
Instruction              | 232          | BEXTRI64mi
Instruction              | 233          | BEXTRI64ri
Instruction              | 234          | BLCFILL32rm
Instruction              | 235          | BLCFILL32rr
Instruction              | 236          | BLCFILL64rm
Instruction              | 237          | BLCFILL64rr
Instruction              | 238          | BLCI32rm
Instruction              | 239          | BLCI32rr
Instruction              | 240          | BLCI64rm
Instruction              | 241          | BLCI64rr
Instruction              | 242          | BLCIC32rm
Instruction              | 243          | BLCIC32rr
Instruction              | 244          | BLCIC64rm
Instruction              | 245          | BLCIC64rr
Instruction              | 246          | BLCMSK32rm
Instruction              | 247          | BLCMSK32rr
Instruction              | 248          | BLCMSK64rm
Instruction              | 249          | BLCMSK64rr
Instruction              | 250          | BLCS32rm
Instruction              | 251          | BLCS32rr
Instruction              | 252          | BLCS64rm
Instruction              | 253          | BLCS64rr
Instruction              | 254          | BLENDPDrmi
Instruction              | 255          | BLENDPDrri
Instruction              | 256          | BLENDPSrmi
Instruction              | 257          | BLENDPSrri
Instruction              | 258          | BLENDVPDrm0
Instruction              | 259          | BLENDVPDrr0
Instruction              | 260          | BLENDVPSrm0
Instruction              | 261          | BLENDVPSrr0
Instruction              | 262          | BLSFILL32rm
Instruction              | 263          | BLSFILL32rr
Instruction              | 264          | BLSFILL64rm
Instruction              | 265          | BLSFILL64rr
Instruction              | 266          | BLSI32rm
Instruction              | 267          | BLSI32rr
Instruction              | 268          | BLSI64rm
Instruction              | 269          | BLSI64rr
Instruction              | 270          | BLSIC32rm
Instruction              | 271          | BLSIC32rr
Instruction              | 272          | BLSIC64rm
Instruction              | 273          | BLSIC64rr
Instruction              | 274          | BLSMSK32rm
Instruction              | 275          | BLSMSK32rr
Instruction              | 276          | BLSMSK64rm
Instruction              | 277          | BLSMSK64rr
Instruction              | 278          | BLSR32rm
Instruction              | 279          | BLSR32rr
Instruction              | 280          | BLSR64rm
Instruction              | 281          | BLSR64rr
Instruction              | 282          | BNDCL32rm
Instruction              | 283          | BNDCL32rr
Instruction              | 284          | BNDCL64rm
Instruction              | 285          | BNDCL64rr
Instruction              | 286          | BNDCN32rm
Instruction              | 287          | BNDCN32rr
Instruction              | 288          | BNDCN64rm
Instruction              | 289          | BNDCN64rr
Instruction              | 290          | BNDCU32rm
Instruction              | 291          | BNDCU32rr
Instruction              | 292          | BNDCU64rm
Instruction              | 293          | BNDCU64rr
Instruction              | 294          | BNDLDXrm
Instruction              | 295          | BNDMK32rm
Instruction              | 296          | BNDMK64rm
Instruction              | 297          | BNDMOV32mr
Instruction              | 298          | BNDMOV32rm
Instruction              | 299          | BNDMOV64mr
Instruction              | 300          | BNDMOV64rm
Instruction              | 301          | BNDMOVrr
Instruction              | 302          | BNDMOVrr_REV
Instruction              | 303          | BNDSTXmr
Instruction              | 304          | BOUNDS16rm
Instruction              | 305          | BOUNDS32rm
