TableName                | EntryIndex   | EntryName
ProcResourceKind         | 0            | AtomPort0
ProcResourceKind         | 1            | AtomPort01
ProcResourceKind         | 2            | AtomPort1
ProcResourceKind         | 3            | BWDivider
ProcResourceKind         | 4            | BWFPDivider
ProcResourceKind         | 5            | BWPort0 
ProcResourceKind         | 6            | BWPort01
ProcResourceKind         | 7            | BWPort015
ProcResourceKind         | 8            | BWPort0156
ProcResourceKind         | 9            | BWPort04
ProcResourceKind         | 10           | BWPort05
ProcResourceKind         | 11           | BWPort056
ProcResourceKind         | 12           | BWPort06
ProcResourceKind         | 13           | BWPort1 
ProcResourceKind         | 14           | BWPort15
ProcResourceKind         | 15           | BWPort16
ProcResourceKind         | 16           | BWPort2 
ProcResourceKind         | 17           | BWPort23
ProcResourceKind         | 18           | BWPort237
ProcResourceKind         | 19           | BWPort3 
ProcResourceKind         | 20           | BWPort4 
ProcResourceKind         | 21           | BWPort5 
ProcResourceKind         | 22           | BWPort56
ProcResourceKind         | 23           | BWPort6 
ProcResourceKind         | 24           | BWPort7 
ProcResourceKind         | 25           | BWPortAny
ProcResourceKind         | 26           | HWDivider
ProcResourceKind         | 27           | HWFPDivider
ProcResourceKind         | 28           | HWPort0 
ProcResourceKind         | 29           | HWPort01
ProcResourceKind         | 30           | HWPort015
ProcResourceKind         | 31           | HWPort0156
ProcResourceKind         | 32           | HWPort04
ProcResourceKind         | 33           | HWPort05
ProcResourceKind         | 34           | HWPort056
ProcResourceKind         | 35           | HWPort06
ProcResourceKind         | 36           | HWPort1 
ProcResourceKind         | 37           | HWPort15
ProcResourceKind         | 38           | HWPort16
ProcResourceKind         | 39           | HWPort2 
ProcResourceKind         | 40           | HWPort23
ProcResourceKind         | 41           | HWPort237
ProcResourceKind         | 42           | HWPort3 
ProcResourceKind         | 43           | HWPort4 
ProcResourceKind         | 44           | HWPort5 
ProcResourceKind         | 45           | HWPort56
ProcResourceKind         | 46           | HWPort6 
ProcResourceKind         | 47           | HWPort7 
ProcResourceKind         | 48           | HWPortAny
ProcResourceKind         | 49           | JALU0   
ProcResourceKind         | 50           | JALU01  
ProcResourceKind         | 51           | JALU1   
ProcResourceKind         | 52           | JDiv    
ProcResourceKind         | 53           | JFPA    
ProcResourceKind         | 54           | JFPM    
ProcResourceKind         | 55           | JFPU0   
ProcResourceKind         | 56           | JFPU01  
ProcResourceKind         | 57           | JFPU1   
ProcResourceKind         | 58           | JFPX    
ProcResourceKind         | 59           | JLAGU   
ProcResourceKind         | 60           | JLSAGU  
ProcResourceKind         | 61           | JMul    
ProcResourceKind         | 62           | JSAGU   
ProcResourceKind         | 63           | JSTC    
ProcResourceKind         | 64           | JVALU   
ProcResourceKind         | 65           | JVALU0  
ProcResourceKind         | 66           | JVALU1  
ProcResourceKind         | 67           | JVIMUL  
ProcResourceKind         | 68           | PdAGLU01
ProcResourceKind         | 69           | PdBranch
ProcResourceKind         | 70           | PdCount 
ProcResourceKind         | 71           | PdDiv   
ProcResourceKind         | 72           | PdEX    
ProcResourceKind         | 73           | PdEX0   
ProcResourceKind         | 74           | PdEX01  
ProcResourceKind         | 75           | PdEX1   
ProcResourceKind         | 76           | PdFPCVT 
ProcResourceKind         | 77           | PdFPFMA 
ProcResourceKind         | 78           | PdFPMAL 
ProcResourceKind         | 79           | PdFPMMA 
ProcResourceKind         | 80           | PdFPSTO 
ProcResourceKind         | 81           | PdFPU   
ProcResourceKind         | 82           | PdFPU0  
ProcResourceKind         | 83           | PdFPU01 
ProcResourceKind         | 84           | PdFPU1  
ProcResourceKind         | 85           | PdFPU2  
ProcResourceKind         | 86           | PdFPU23 
ProcResourceKind         | 87           | PdFPU3  
ProcResourceKind         | 88           | PdFPXBR 
ProcResourceKind         | 89           | PdLoad  
ProcResourceKind         | 90           | PdMul   
ProcResourceKind         | 91           | PdStore 
ProcResourceKind         | 92           | SBDivider
ProcResourceKind         | 93           | SBFPDivider
ProcResourceKind         | 94           | SBPort0 
