TableName                | EntryIndex   | EntryName
RegisterId               | 0            | NoRegister
RegisterId               | 1            | AH      
RegisterId               | 2            | AL      
RegisterId               | 3            | AX      
RegisterId               | 4            | BH      
RegisterId               | 5            | BL      
RegisterId               | 6            | BP      
RegisterId               | 7            | BPH     
RegisterId               | 8            | BPL     
RegisterId               | 9            | BX      
RegisterId               | 10           | CH      
RegisterId               | 11           | CL      
RegisterId               | 12           | CS      
RegisterId               | 13           | CX      
RegisterId               | 14           | DF      
RegisterId               | 15           | DH      
RegisterId               | 16           | DI      
RegisterId               | 17           | DIH     
RegisterId               | 18           | DIL     
RegisterId               | 19           | DL      
RegisterId               | 20           | DS      
RegisterId               | 21           | DX      
RegisterId               | 22           | EAX     
RegisterId               | 23           | EBP     
RegisterId               | 24           | EBX     
RegisterId               | 25           | ECX     
RegisterId               | 26           | EDI     
RegisterId               | 27           | EDX     
RegisterId               | 28           | EFLAGS  
RegisterId               | 29           | EIP     
RegisterId               | 30           | EIZ     
RegisterId               | 31           | ES      
RegisterId               | 32           | ESI     
RegisterId               | 33           | ESP     
RegisterId               | 34           | FPCW    
RegisterId               | 35           | FPSW    
RegisterId               | 36           | FS      
RegisterId               | 37           | GS      
RegisterId               | 38           | HAX     
RegisterId               | 39           | HBP     
RegisterId               | 40           | HBX     
RegisterId               | 41           | HCX     
RegisterId               | 42           | HDI     
RegisterId               | 43           | HDX     
RegisterId               | 44           | HIP     
RegisterId               | 45           | HSI     
RegisterId               | 46           | HSP     
RegisterId               | 47           | IP      
RegisterId               | 48           | MXCSR   
RegisterId               | 49           | RAX     
RegisterId               | 50           | RBP     
RegisterId               | 51           | RBX     
RegisterId               | 52           | RCX     
RegisterId               | 53           | RDI     
RegisterId               | 54           | RDX     
RegisterId               | 55           | RIP     
RegisterId               | 56           | RIZ     
RegisterId               | 57           | RSI     
RegisterId               | 58           | RSP     
RegisterId               | 59           | SI      
RegisterId               | 60           | SIH     
RegisterId               | 61           | SIL     
RegisterId               | 62           | SP      
RegisterId               | 63           | SPH     
RegisterId               | 64           | SPL     
RegisterId               | 65           | SS      
RegisterId               | 66           | SSP     
