TableName                | EntryIndex   | EntryName
X86Inst                  | 0            | AAA     
X86Inst                  | 1            | AAD8i8  
X86Inst                  | 2            | AAM8i8  
X86Inst                  | 3            | AAS     
X86Inst                  | 4            | ABS_F   
X86Inst                  | 5            | ABS_Fp32
X86Inst                  | 6            | ABS_Fp64
X86Inst                  | 7            | ABS_Fp80
X86Inst                  | 8            | ADC16i16
X86Inst                  | 9            | ADC16mi 
X86Inst                  | 10           | ADC16mi8
X86Inst                  | 11           | ADC16mr 
X86Inst                  | 12           | ADC16ri 
X86Inst                  | 13           | ADC16ri8
X86Inst                  | 14           | ADC16rm 
X86Inst                  | 15           | ADC16rr 
X86Inst                  | 16           | ADC16rr_REV
X86Inst                  | 17           | ADC32i32
X86Inst                  | 18           | ADC32mi 
X86Inst                  | 19           | ADC32mi8
X86Inst                  | 20           | ADC32mr 
X86Inst                  | 21           | ADC32ri 
X86Inst                  | 22           | ADC32ri8
X86Inst                  | 23           | ADC32rm 
X86Inst                  | 24           | ADC32rr 
X86Inst                  | 25           | ADC32rr_REV
X86Inst                  | 26           | ADC64i32
X86Inst                  | 27           | ADC64mi32
X86Inst                  | 28           | ADC64mi8
X86Inst                  | 29           | ADC64mr 
X86Inst                  | 30           | ADC64ri32
X86Inst                  | 31           | ADC64ri8
X86Inst                  | 32           | ADC64rm 
X86Inst                  | 33           | ADC64rr 
X86Inst                  | 34           | ADC64rr_REV
X86Inst                  | 35           | ADC8i8  
X86Inst                  | 36           | ADC8mi  
X86Inst                  | 37           | ADC8mi8 
X86Inst                  | 38           | ADC8mr  
X86Inst                  | 39           | ADC8ri  
X86Inst                  | 40           | ADC8ri8 
X86Inst                  | 41           | ADC8rm  
X86Inst                  | 42           | ADC8rr  
X86Inst                  | 43           | ADC8rr_REV
X86Inst                  | 44           | ADCX32rm
X86Inst                  | 45           | ADCX32rr
X86Inst                  | 46           | ADCX64rm
X86Inst                  | 47           | ADCX64rr
X86Inst                  | 48           | ADD16i16
X86Inst                  | 49           | ADD16mi 
X86Inst                  | 50           | ADD16mi8
X86Inst                  | 51           | ADD16mr 
X86Inst                  | 52           | ADD16ri 
X86Inst                  | 53           | ADD16ri8
X86Inst                  | 54           | ADD16ri8_DB
X86Inst                  | 55           | ADD16ri_DB
X86Inst                  | 56           | ADD16rm 
X86Inst                  | 57           | ADD16rr 
X86Inst                  | 58           | ADD16rr_DB
X86Inst                  | 59           | ADD16rr_REV
X86Inst                  | 60           | ADD32i32
X86Inst                  | 61           | ADD32mi 
X86Inst                  | 62           | ADD32mi8
X86Inst                  | 63           | ADD32mr 
X86Inst                  | 64           | ADD32ri 
X86Inst                  | 65           | ADD32ri8
X86Inst                  | 66           | ADD32ri8_DB
X86Inst                  | 67           | ADD32ri_DB
X86Inst                  | 68           | ADD32rm 
X86Inst                  | 69           | ADD32rr 
X86Inst                  | 70           | ADD32rr_DB
X86Inst                  | 71           | ADD32rr_REV
X86Inst                  | 72           | ADD64i32
X86Inst                  | 73           | ADD64mi32
X86Inst                  | 74           | ADD64mi8
X86Inst                  | 75           | ADD64mr 
X86Inst                  | 76           | ADD64ri32
X86Inst                  | 77           | ADD64ri32_DB
X86Inst                  | 78           | ADD64ri8
X86Inst                  | 79           | ADD64ri8_DB
X86Inst                  | 80           | ADD64rm 
X86Inst                  | 81           | ADD64rr 
X86Inst                  | 82           | ADD64rr_DB
X86Inst                  | 83           | ADD64rr_REV
X86Inst                  | 84           | ADD8i8  
X86Inst                  | 85           | ADD8mi  
X86Inst                  | 86           | ADD8mi8 
X86Inst                  | 87           | ADD8mr  
X86Inst                  | 88           | ADD8ri  
X86Inst                  | 89           | ADD8ri8 
X86Inst                  | 90           | ADD8ri_DB
X86Inst                  | 91           | ADD8rm  
X86Inst                  | 92           | ADD8rr  
X86Inst                  | 93           | ADD8rr_DB
X86Inst                  | 94           | ADD8rr_REV
X86Inst                  | 95           | ADDPDrm 
X86Inst                  | 96           | ADDPDrr 
X86Inst                  | 97           | ADDPSrm 
X86Inst                  | 98           | ADDPSrr 
X86Inst                  | 99           | ADDR16_PREFIX
X86Inst                  | 100          | ADDR32_PREFIX
X86Inst                  | 101          | ADDSDrm 
X86Inst                  | 102          | ADDSDrm_Int
X86Inst                  | 103          | ADDSDrr 
X86Inst                  | 104          | ADDSDrr_Int
X86Inst                  | 105          | ADDSSrm 
X86Inst                  | 106          | ADDSSrm_Int
X86Inst                  | 107          | ADDSSrr 
X86Inst                  | 108          | ADDSSrr_Int
X86Inst                  | 109          | ADDSUBPDrm
X86Inst                  | 110          | ADDSUBPDrr
X86Inst                  | 111          | ADDSUBPSrm
X86Inst                  | 112          | ADDSUBPSrr
X86Inst                  | 113          | ADD_F32m
X86Inst                  | 114          | ADD_F64m
X86Inst                  | 115          | ADD_FI16m
X86Inst                  | 116          | ADD_FI32m
X86Inst                  | 117          | ADD_FPrST0
X86Inst                  | 118          | ADD_FST0r
X86Inst                  | 119          | ADD_Fp32
X86Inst                  | 120          | ADD_Fp32m
X86Inst                  | 121          | ADD_Fp64
X86Inst                  | 122          | ADD_Fp64m
X86Inst                  | 123          | ADD_Fp64m32
X86Inst                  | 124          | ADD_Fp80
X86Inst                  | 125          | ADD_Fp80m32
X86Inst                  | 126          | ADD_Fp80m64
X86Inst                  | 127          | ADD_FpI16m32
X86Inst                  | 128          | ADD_FpI16m64
X86Inst                  | 129          | ADD_FpI16m80
X86Inst                  | 130          | ADD_FpI32m32
X86Inst                  | 131          | ADD_FpI32m64
X86Inst                  | 132          | ADD_FpI32m80
X86Inst                  | 133          | ADD_FrST0
X86Inst                  | 134          | ADJCALLSTACKDOWN32
X86Inst                  | 135          | ADJCALLSTACKDOWN64
X86Inst                  | 136          | ADJCALLSTACKUP32
X86Inst                  | 137          | ADJCALLSTACKUP64
X86Inst                  | 138          | ADOX32rm
X86Inst                  | 139          | ADOX32rr
X86Inst                  | 140          | ADOX64rm
X86Inst                  | 141          | ADOX64rr
X86Inst                  | 142          | AESDEC128KL
X86Inst                  | 143          | AESDEC256KL
X86Inst                  | 144          | AESDECLASTrm
X86Inst                  | 145          | AESDECLASTrr
X86Inst                  | 146          | AESDECWIDE128KL
X86Inst                  | 147          | AESDECWIDE256KL
X86Inst                  | 148          | AESDECrm
X86Inst                  | 149          | AESDECrr
X86Inst                  | 150          | AESENC128KL
X86Inst                  | 151          | AESENC256KL
